method_id,method,CC,PC,LOC,NCMIC,NCMEC,NECA,NAMFAEC
0,alluxio_util_io_PathUtils_validatePath,3,1,14,0,2,2,1
1,alluxio_RedirectOutputRule_before,1,0,5,0,0,0,0
2,alluxio_underfs_UnderFileSystemConfiguration_setShared,1,1,8,0,0,0,0
3,alluxio_util_CommonUtils_closeAndRethrowRuntimeException,1,2,21,0,0,0,0
4,alluxio_underfs_UnderFileSystemFactoryRegistry_available,1,0,7,0,1,1,1
5,alluxio_util_CommonUtils_convertMsToClockTime,1,1,13,0,0,0,0
6,alluxio_underfs_UnderFileSystemConfiguration_toUserPropertyMap,1,1,7,0,1,1,1
7,alluxio_util_CommonUtils_convertToByteString,2,1,6,0,0,0,0
8,alluxio_underfs_UnderFileSystem_isFile,1,1,6,0,0,0,0
9,alluxio_underfs_UnderFileSystem_getUnderFSType,1,0,6,0,0,0,0
10,alluxio_underfs_Fingerprint_isValid,4,0,15,0,0,0,0
11,alluxio_underfs_UfsStatus_getLastModifiedTime,1,0,8,0,0,0,0
12,alluxio_underfs_Fingerprint_create,2,2,17,4,1,1,1
13,alluxio_underfs_ObjectUnderFileSystem_ObjectUnderFileSystem,1,2,11,0,5,4,2
14,alluxio_underfs_Fingerprint_parse,6,1,24,1,0,0,0
15,alluxio_uri_SingleMasterAuthority_toString,1,0,3,0,0,0,0
16,alluxio_underfs_UnderFileSystem_renameRenamableDirectory,1,2,9,0,0,0,0
17,alluxio_underfs_UnderFileSystem_isDirectory,1,1,6,0,0,0,0
18,alluxio_underfs_UnderFileSystem_renameFile,1,2,7,0,0,0,0
19,alluxio_wire_AlluxioWorkerInfo_setConfiguration,1,1,8,0,0,0,0
20,alluxio_wire_AlluxioWorkerInfo_setVersion,1,1,8,0,0,0,0
21,alluxio_wire_AlluxioWorkerInfo_setCapacity,1,1,8,0,0,0,0
22,alluxio_wire_FileBlockInfo_getOffset,1,0,6,0,0,0,0
23,alluxio_wire_ConfigCheckReport_getConfigStatus,1,0,6,0,0,0,0
24,alluxio_wire_ConfigHash_fromProto,1,1,7,1,0,0,0
25,alluxio_wire_FileBlockInfo_setBlockInfo,1,1,9,0,0,0,0
26,alluxio_wire_FileBlockInfo_setOffset,1,1,8,0,0,0,0
27,alluxio_wire_BlockInfo_BlockInfo,1,0,5,0,0,0,0
28,alluxio_wire_FileInfo_isPersisted,1,0,6,0,0,0,0
29,alluxio_wire_FileInfo_getPath,1,0,6,0,0,0,0
30,alluxio_wire_BackupStatus_getBackupUri,1,0,6,0,0,0,0
31,alluxio_wire_FileInfo_getBlockSizeBytes,1,0,6,0,0,0,0
32,alluxio_wire_AlluxioProxyInfo_getStartTimeMs,1,0,6,0,0,0,0
33,alluxio_wire_AlluxioWorkerInfo_setStartTimeMs,1,1,8,0,0,0,0
34,alluxio_wire_AlluxioWorkerInfo_setTierCapacity,1,1,8,0,0,0,0
35,alluxio_wire_BackupStatus_setError,1,1,11,0,0,0,0
36,alluxio_wire_InconsistentProperty_getValues,1,0,6,0,0,0,0
37,alluxio_wire_InconsistentProperty_formatValues,2,1,10,0,0,0,0
38,alluxio_wire_InconsistentProperty_fromProto,1,1,8,1,0,0,0
39,alluxio_wire_FileInfo_isCacheable,1,0,6,0,0,0,0
40,alluxio_wire_WorkerInfo_setId,1,1,8,0,0,0,0
41,alluxio_wire_WorkerInfo_setStartTimeMs,1,1,8,0,0,0,0
42,alluxio_wire_WorkerNetAddress_getDataPort,1,0,6,0,0,0,0
43,alluxio_wire_WorkerNetAddress_setRpcPort,1,1,8,0,0,0,0
44,alluxio_wire_WorkerNetAddress_setHost,1,1,9,0,0,0,0
45,alluxio_wire_WorkerNetAddress_setDataPort,1,1,8,0,0,0,0
46,alluxio_client_block_BlockMasterClient_getUsedBytes,1,0,5,0,0,0,0
