method_id,method,CC,PC,LOC,NCMIC,NCMEC,NECA,NAMFAEC
0,org_apache_kafka_common_Cluster_Cluster,9,8,2,4,7,4,3
1,org_apache_kafka_clients_consumer_KafkaConsumer_KafkaConsumer,1,1,21,7,37,22,10
2,org_apache_kafka_clients_admin_RemoveMembersFromConsumerGroupResult_removeAll,1,0,3,0,0,0,0
3,org_apache_kafka_clients_admin_ConsumerGroupListing_ConsumerGroupListing,1,3,11,1,0,0,0
4,org_apache_kafka_clients_NodeApiVersions_create,5,1,10,3,0,0,0
5,org_apache_kafka_clients_ClientUtils_parseAndValidateAddresses,1,2,42,1,3,2,2
6,org_apache_kafka_clients_admin_Admin_listConsumerGroupOffsets,1,1,9,1,0,0,0
7,org_apache_kafka_clients_admin_ConfigEntry_ConfigEntry,1,8,20,1,0,0,0
8,org_apache_kafka_clients_admin_KafkaAdminClient_completeAllExceptionally,1,2,9,1,0,0,0
9,org_apache_kafka_clients_ClusterConnectionStates_currentAddress,2,0,8,1,0,0,0
10,org_apache_kafka_clients_ClusterConnectionStates_authenticationFailed,1,3,13,2,0,0,0
11,org_apache_kafka_clients_admin_ListOffsetsOptions_ListOffsetsOptions,1,1,3,1,0,0,0
12,org_apache_kafka_clients_admin_RecordsToDelete_beforeOffset,1,0,6,1,0,0,0
13,org_apache_kafka_clients_admin_MemberAssignment_MemberAssignment,1,1,7,0,0,0,0
14,org_apache_kafka_clients_admin_NewTopic_replicationFactor,1,0,6,0,0,0,0
15,org_apache_kafka_clients_admin_NewPartitionReassignment_NewPartitionReassignment,2,1,7,0,0,0,0
16,org_apache_kafka_clients_admin_ListConsumerGroupOffsetsOptions_topicPartitions,1,1,6,0,0,0,0
17,org_apache_kafka_clients_ClusterConnectionStates_isReady,1,2,3,1,0,0,0
18,org_apache_kafka_clients_Metadata_newMetadataRequestAndVersion,3,1,13,2,0,0,0
19,org_apache_kafka_clients_MetadataCache_MetadataCache,1,7,19,2,0,0,0
20,org_apache_kafka_clients_MockClient_respond,3,2,6,2,8,3,6
21,org_apache_kafka_clients_Metadata_requestUpdateForNewTopics,1,0,6,0,0,0,0
22,org_apache_kafka_clients_consumer_KafkaConsumer_commitSync,2,2,43,6,5,4,2
23,org_apache_kafka_clients_consumer_ConsumerRecords_records,2,1,11,0,1,1,1
24,org_apache_kafka_clients_consumer_ConsumerRebalanceListener_onPartitionsRevoked,1,1,22,0,0,0,0
25,org_apache_kafka_clients_NetworkClientTest_createExpectedApiVersionsResponse,3,2,10,0,1,1,1
26,org_apache_kafka_clients_consumer_Consumer_close,1,1,4,0,0,0,0
27,org_apache_kafka_clients_consumer_ConsumerRecord_ConsumerRecord,1,11,19,4,2,1,2
28,org_apache_kafka_clients_consumer_Consumer_committed,1,1,4,0,0,0,0
29,org_apache_kafka_clients_consumer_MockConsumer_commitSync,1,2,3,4,2,1,2
30,org_apache_kafka_clients_consumer_KafkaConsumer_beginningOffsets,1,2,22,3,2,2,1
31,org_apache_kafka_clients_consumer_MockConsumer_commitAsync,1,1,4,4,2,2,1
32,org_apache_kafka_clients_consumer_OffsetAndMetadata_OffsetAndMetadata,1,1,8,2,0,0,0
33,org_apache_kafka_clients_consumer_internals_AbstractStickyAssignor_reassignPartition,1,5,5,2,1,1,1
34,org_apache_kafka_clients_consumer_internals_AbstractCoordinator_setNewState,1,1,3,0,0,0,0
35,org_apache_kafka_clients_consumer_internals_AbstractCoordinator_ensureActiveGroup,2,0,13,4,1,1,1
36,org_apache_kafka_common_Cluster_partitionsForTopic,1,1,8,0,0,0,0
37,org_apache_kafka_clients_consumer_internals_AsyncClient_AsyncClient,1,2,4,0,1,1,1
38,org_apache_kafka_clients_consumer_internals_ConsumerCoordinator_sendOffsetFetchRequest,2,1,13,0,4,3,2
39,org_apache_kafka_clients_consumer_internals_Fetcher_hasAvailableFetches,1,0,6,0,0,0,0
40,org_apache_kafka_clients_consumer_internals_ConsumerProtocol_serializeAssignment,3,2,2,1,0,0,0
41,org_apache_kafka_clients_consumer_internals_ConsumerMetadata_addTransientTopics,2,1,4,0,3,2,2
42,org_apache_kafka_clients_consumer_internals_ConsumerInterceptors_close,2,0,13,0,1,1,1
43,org_apache_kafka_clients_consumer_internals_ConsumerNetworkClient_poll,1,1,36,11,10,5,4
44,org_apache_kafka_clients_consumer_internals_ConsumerCoordinator_ConsumerCoordinator,5,13,5,0,8,6,3
45,org_apache_kafka_clients_consumer_internals_ConsumerCoordinator_invokePartitionsRevoked,1,1,20,0,6,5,2
46,org_apache_kafka_clients_consumer_internals_RequestFuture_raise,1,1,7,2,0,0,0
47,org_apache_kafka_clients_consumer_internals_SubscriptionState_seekValidated,1,1,3,1,0,0,0
48,org_apache_kafka_clients_consumer_internals_AbstractCoordinatorTest_syncGroupResponse,1,1,3,1,1,1,1
49,org_apache_kafka_clients_producer_MockProducer_MockProducer,1,4,7,3,3,1,3
50,org_apache_kafka_clients_producer_KafkaProducer_KafkaProducer,1,3,72,10,36,19,11
51,org_apache_kafka_clients_producer_Producer_close,1,2,4,0,0,0,0
52,org_apache_kafka_clients_producer_Producer_sendOffsetsToTransaction,1,2,4,0,0,0,0
53,org_apache_kafka_clients_producer_internals_ProducerInterceptors_onSendError,4,3,25,0,5,4,2
54,org_apache_kafka_clients_producer_internals_ProducerBatch_producerEpoch,1,0,3,0,1,1,1
55,org_apache_kafka_clients_producer_internals_ProducerMetadata_awaitUpdate,2,2,5,0,4,3,2
56,org_apache_kafka_clients_producer_internals_ProduceRequestResult_await,1,0,9,0,0,0,0
57,org_apache_kafka_clients_producer_internals_StickyPartitionCache_nextPartition,6,3,29,0,4,3,2
58,org_apache_kafka_clients_producer_internals_TransactionManager_setProducerIdAndEpoch,1,1,7,0,0,0,0
59,org_apache_kafka_clients_producer_internals_TransactionalRequestResult_TransactionalRequestResult,1,2,4,1,0,0,0
60,org_apache_kafka_common_config_ConfigDef_define,1,6,11,15,1,1,1
61,org_apache_kafka_clients_producer_internals_RecordAccumulator_nextExpiryTimeMs,1,0,6,0,0,0,0
62,org_apache_kafka_clients_producer_internals_ProducerMetadataTest_asyncFetch,2,2,2,0,0,0,0
63,org_apache_kafka_common_protocol_Writable_writeUnsignedVarint,1,1,1,0,0,0,0
64,org_apache_kafka_common_ClusterResource_ClusterResource,1,1,9,0,0,0,0
65,org_apache_kafka_common_TopicPartition_hashCode,2,0,8,0,0,0,0
66,org_apache_kafka_clients_producer_internals_TransactionManagerTest_prepareEndTxnResponse,1,5,3,2,2,2,1
67,org_apache_kafka_common_header_internals_RecordHeaders_RecordHeaders,5,1,15,2,0,0,0
68,org_apache_kafka_common_Node_Node,1,4,7,1,0,0,0
69,org_apache_kafka_common_config_ConfigDefTest_testValidators,3,5,18,1,3,1,3
70,org_apache_kafka_common_errors_ApiException_ApiException,1,1,3,0,4,1,4
71,org_apache_kafka_common_config_AbstractConfig_get,2,1,5,0,1,1,1
72,org_apache_kafka_common_errors_InvalidMetadataException_InvalidMetadataException,1,2,3,0,4,1,4
73,org_apache_kafka_common_errors_InvalidRequestException_InvalidRequestException,1,2,3,0,2,1,2
74,org_apache_kafka_common_metrics_KafkaMbeanTest_getAttribute,1,1,3,2,1,1,1
75,org_apache_kafka_common_metrics_Metrics_Metrics,1,2,11,9,5,3,2
76,org_apache_kafka_common_metrics_Metrics_sensor,4,5,13,8,1,1,1
77,org_apache_kafka_common_feature_Features_emptyFinalizedFeatures,1,0,3,1,0,0,0
78,org_apache_kafka_common_metrics_MetricConfig_eventWindow,1,0,4,0,0,0,0
79,org_apache_kafka_common_feature_FinalizedVersionRange_FinalizedVersionRange,1,2,3,0,1,1,1
80,org_apache_kafka_common_errors_RebalanceInProgressException_RebalanceInProgressException,1,1,3,0,4,1,4
81,org_apache_kafka_common_internals_FatalExitError_FatalExitError,1,0,3,1,0,0,0
82,org_apache_kafka_common_header_internals_RecordHeader_RecordHeader,1,2,4,0,0,0,0
83,org_apache_kafka_common_metrics_JmxReporter_JmxReporter,1,1,7,1,0,0,0
84,org_apache_kafka_common_metrics_stats_Rate_Rate,1,2,4,3,1,1,1
85,org_apache_kafka_common_utils_Bytes_toString,1,0,28,1,0,0,0
86,org_apache_kafka_common_network_ChannelState_ChannelState,1,2,5,2,0,0,0
87,org_apache_kafka_common_network_Selector_close,3,1,23,4,5,2,3
88,org_apache_kafka_common_network_SslChannelBuilder_close,2,0,3,0,1,1,1
89,org_apache_kafka_common_network_NetworkTestUtils_createEchoServer,1,7,5,1,2,1,2
90,org_apache_kafka_common_network_SslSelectorTest_connect,1,2,8,0,1,1,1
91,org_apache_kafka_common_network_SelectorTest_verifySelectorEmpty,2,1,9,2,5,2,3
92,org_apache_kafka_common_protocol_types_Type_read,1,1,3,0,0,0,0
93,org_apache_kafka_common_protocol_types_Type_sizeOf,1,1,3,0,0,0,0
94,org_apache_kafka_common_protocol_types_Type_validate,2,1,4,0,0,0,0
95,org_apache_kafka_common_protocol_types_RawTaggedField_RawTaggedField,1,2,4,0,0,0,0
96,org_apache_kafka_common_protocol_types_Struct_set,1,2,3,6,2,2,1
97,org_apache_kafka_common_record_DefaultRecord_headers,1,0,3,0,0,0,0
98,org_apache_kafka_common_record_DefaultRecord_readFrom,2,5,36,4,10,3,6
99,org_apache_kafka_common_protocol_types_ProtocolSerializationTest_roundtrip,1,2,9,0,3,1,3
100,org_apache_kafka_common_record_ByteBufferLogInputStream_nextBatchSize,6,0,17,0,1,1,1
101,org_apache_kafka_common_record_AbstractLegacyRecordBatch_writeHeader,1,3,4,0,0,0,0
102,org_apache_kafka_common_record_AbstractRecordBatch_isCompressed,1,0,3,0,1,1,1
103,org_apache_kafka_common_record_MemoryRecords_withRecords,1,4,10,6,5,3,3
104,org_apache_kafka_common_record_FileRecords_channel,1,0,7,0,0,0,0
105,org_apache_kafka_common_record_MemoryRecords_batches,1,0,3,0,0,0,0
106,org_apache_kafka_common_record_LegacyRecord_create,1,4,3,4,1,1,1
107,org_apache_kafka_common_record_DefaultRecordBatch_estimateBatchSizeUpperBound,1,3,8,0,1,1,1
108,org_apache_kafka_common_record_MemoryRecordsBuilder_setEstimatedCompressionRatio,1,1,6,0,0,0,0
109,org_apache_kafka_common_requests_CreateDelegationTokenResponse_error,1,0,3,0,0,0,0
