method_id,method,source_class_id,source_class,target_class_id,target_class,label
0,io_realm_internal_OsList_nativeInsertLong,0,io_realm_internal_OsList,0,io_realm_internal_OsList,0
1,io_realm_internal_OsList_nativeAddDouble,0,io_realm_internal_OsList,0,io_realm_internal_OsList,0
2,io_realm_internal_OsList_nativeSetDouble,0,io_realm_internal_OsList,0,io_realm_internal_OsList,0
3,io_realm_mongodb_mongo_MongoNamespace_getCollectionNameFullName,1,io_realm_mongodb_mongo_MongoNamespace,1,io_realm_mongodb_mongo_MongoNamespace,0
4,io_realm_mongodb_sync_ConnectionListener_onChange,2,io_realm_mongodb_sync_ConnectionListener,2,io_realm_mongodb_sync_ConnectionListener,0
5,io_realm_mongodb_sync_SyncConfiguration_forRecovery,3,io_realm_mongodb_sync_SyncConfiguration,3,io_realm_mongodb_sync_SyncConfiguration,0
6,io_realm_rx_RxObservableFactory_changesetsFrom,4,io_realm_rx_RxObservableFactory,4,io_realm_rx_RxObservableFactory,0
7,io_realm_internal_OsList_nativeInsertBoolean,0,io_realm_internal_OsList,0,io_realm_internal_OsList,0
8,io_realm_internal_ObjectServerFacade_getSyncServerCertificateAssetName,5,io_realm_internal_ObjectServerFacade,5,io_realm_internal_ObjectServerFacade,0
9,io_realm_internal_OsObjectStore_getPrimaryKeyForObject,6,io_realm_internal_OsObjectStore,6,io_realm_internal_OsObjectStore,0
10,io_realm_internal_OsObjectStore_callWithLock,6,io_realm_internal_OsObjectStore,6,io_realm_internal_OsObjectStore,0
11,io_realm_mongodb_App_notifyUserLoggedOut,7,io_realm_mongodb_App,7,io_realm_mongodb_App,0
12,io_realm_internal_NativeContext_addReference,8,io_realm_internal_NativeContext,8,io_realm_internal_NativeContext,0
13,io_realm_internal_OsObjectStore_nativeGetPrimaryKeyForObject,6,io_realm_internal_OsObjectStore,6,io_realm_internal_OsObjectStore,0
14,io_realm_internal_RealmProxyMediator_isEmbedded,9,io_realm_internal_RealmProxyMediator,9,io_realm_internal_RealmProxyMediator,0
15,io_realm_internal_OsCollectionChangeSet_getDeletionRanges,10,io_realm_internal_OsCollectionChangeSet,10,io_realm_internal_OsCollectionChangeSet,0
16,io_realm_internal_ManageableObject_isManaged,11,io_realm_internal_ManageableObject,11,io_realm_internal_ManageableObject,0
17,io_realm_internal_RealmProxyMediator_hashCode,9,io_realm_internal_RealmProxyMediator,9,io_realm_internal_RealmProxyMediator,0
18,io_realm_internal_TableQuery_getNativePtr,12,io_realm_internal_TableQuery,12,io_realm_internal_TableQuery,0
19,io_realm_internal_RealmProxyMediator_getNotEmbeddedClassException,9,io_realm_internal_RealmProxyMediator,9,io_realm_internal_RealmProxyMediator,0
20,io_realm_internal_TableQuery_not,12,io_realm_internal_TableQuery,12,io_realm_internal_TableQuery,0
21,io_realm_internal_RealmProxyMediator_updateEmbeddedObject,9,io_realm_internal_RealmProxyMediator,9,io_realm_internal_RealmProxyMediator,0
22,io_realm_internal_OsList_nativeRemoveAll,0,io_realm_internal_OsList,0,io_realm_internal_OsList,0
23,io_realm_internal_TableQuery_nativeSumDecimal128,12,io_realm_internal_TableQuery,12,io_realm_internal_TableQuery,0
24,io_realm_internal_OsList_setRow,0,io_realm_internal_OsList,0,io_realm_internal_OsList,0
25,io_realm_internal_OsList_nativeInsertBinary,0,io_realm_internal_OsList,0,io_realm_internal_OsList,0
26,io_realm_internal_OsObject_OsObject,13,io_realm_internal_OsObject,13,io_realm_internal_OsObject,0
27,io_realm_internal_TableQuery_nativeCount,12,io_realm_internal_TableQuery,12,io_realm_internal_TableQuery,0
28,io_realm_internal_TableQuery_nativeMinimumDecimal128,12,io_realm_internal_TableQuery,12,io_realm_internal_TableQuery,0
29,io_realm_internal_OsList_nativeAddDate,0,io_realm_internal_OsList,0,io_realm_internal_OsList,0
30,io_realm_internal_TableQuery_nativeAverageDouble,12,io_realm_internal_TableQuery,12,io_realm_internal_TableQuery,0
31,io_realm_internal_OsObject_nativeCreateRowWithObjectIdPrimaryKey,13,io_realm_internal_OsObject,13,io_realm_internal_OsObject,0
32,io_realm_internal_OsObject_nativeCreateRow,13,io_realm_internal_OsObject,13,io_realm_internal_OsObject,0
33,io_realm_internal_OsObject_nativeCreateNewObjectWithStringPrimaryKey,13,io_realm_internal_OsObject,13,io_realm_internal_OsObject,0
34,io_realm_internal_Row_getFloat,14,io_realm_internal_Row,14,io_realm_internal_Row,0
35,io_realm_internal_Row_setDate,14,io_realm_internal_Row,14,io_realm_internal_Row,0
36,ThreadStressTests_readObjects,15,ThreadStressTests,15,ThreadStressTests,0
37,io_realm_internal_Row_setLong,14,io_realm_internal_Row,14,io_realm_internal_Row,0
38,io_realm_internal_OsSharedRealm_nativeGetTableRef,16,io_realm_internal_OsSharedRealm,16,io_realm_internal_OsSharedRealm,0
39,io_realm_internal_OsSharedRealm_nativeGetVersionID,16,io_realm_internal_OsSharedRealm,16,io_realm_internal_OsSharedRealm,0
40,io_realm_internal_CheckedRow_getFromRow,17,io_realm_internal_CheckedRow,17,io_realm_internal_CheckedRow,0
41,io_realm_internal_TableQuery_count,12,io_realm_internal_TableQuery,12,io_realm_internal_TableQuery,0
42,io_realm_internal_OsList_setBinary,0,io_realm_internal_OsList,0,io_realm_internal_OsList,0
43,io_realm_internal_OsList_insertBoolean,0,io_realm_internal_OsList,0,io_realm_internal_OsList,0
44,io_realm_internal_RealmNotifier_removeChangeListeners,18,io_realm_internal_RealmNotifier,18,io_realm_internal_RealmNotifier,0
45,io_realm_internal_OsList_setFloat,0,io_realm_internal_OsList,0,io_realm_internal_OsList,0
46,io_realm_internal_OsList_createAndAddEmbeddedObject,0,io_realm_internal_OsList,0,io_realm_internal_OsList,0
47,io_realm_internal_OsList_isEmpty,0,io_realm_internal_OsList,0,io_realm_internal_OsList,0
48,io_realm_RealmList_remove,19,io_realm_RealmList,19,io_realm_RealmList,0
49,io_realm_ManagedListOperator_insert,20,io_realm_ManagedListOperator,20,io_realm_ManagedListOperator,0
50,io_realm_internal_OsSharedRealmTests_hasTable,21,io_realm_internal_OsSharedRealmTests,16,io_realm_internal_OsSharedRealm,1
51,io_realm_Realm_Realm,22,io_realm_Realm,22,io_realm_Realm,0
52,io_realm_internal_CheckedRow_CheckedRow,17,io_realm_internal_CheckedRow,17,io_realm_internal_CheckedRow,0
53,io_realm_internal_UncheckedRow_getFloat,23,io_realm_internal_UncheckedRow,23,io_realm_internal_UncheckedRow,0
54,io_realm_internal_UncheckedRow_getColumnKey,23,io_realm_internal_UncheckedRow,23,io_realm_internal_UncheckedRow,0
55,io_realm_internal_TableQuery_nativeMaximumDecimal128,12,io_realm_internal_TableQuery,12,io_realm_internal_TableQuery,0
56,io_realm_mongodb_Credentials_google,24,io_realm_mongodb_Credentials,24,io_realm_mongodb_Credentials,0
57,io_realm_RealmResults_asFlowable,25,io_realm_RealmResults,25,io_realm_RealmResults,0
58,io_realm_mongodb_auth_ApiKeyAuth_ApiKeyAuth,26,io_realm_mongodb_auth_ApiKeyAuth,26,io_realm_mongodb_auth_ApiKeyAuth,0
59,io_realm_mongodb_UserProfile_getMaxAge,27,io_realm_mongodb_UserProfile,27,io_realm_mongodb_UserProfile,0
60,io_realm_MutableRealmInteger_get,28,io_realm_MutableRealmInteger,28,io_realm_MutableRealmInteger,0
61,io_realm_OrderedCollectionChangeSet_getInsertionRanges,29,io_realm_OrderedCollectionChangeSet,29,io_realm_OrderedCollectionChangeSet,0
62,io_realm_RealmResults_asJSON,25,io_realm_RealmResults,25,io_realm_RealmResults,0
63,io_realm_RealmList_RealmList,19,io_realm_RealmList,19,io_realm_RealmList,0
64,io_realm_OrderedRealmCollectionImpl_firstImpl,30,io_realm_OrderedRealmCollectionImpl,30,io_realm_OrderedRealmCollectionImpl,0
65,io_realm_Realm_createExpectedSchemaInfo,22,io_realm_Realm,22,io_realm_Realm,0
66,io_realm_RealmList_checkValidRealm,19,io_realm_RealmList,19,io_realm_RealmList,0
67,io_realm_Realm_getDefaultConfiguration,22,io_realm_Realm,22,io_realm_Realm,0
68,io_realm_Realm_getSchema,22,io_realm_Realm,22,io_realm_Realm,0
69,io_realm_RealmList_lastImpl,19,io_realm_RealmList,19,io_realm_RealmList,0
70,io_realm_RealmObject_isFrozen,31,io_realm_RealmObject,31,io_realm_RealmObject,0
71,io_realm_RealmList_removeChangeListener,19,io_realm_RealmList,19,io_realm_RealmList,0
72,io_realm_RealmConfiguration_getMaxNumberOfActiveVersions,32,io_realm_RealmConfiguration,32,io_realm_RealmConfiguration,0
73,io_realm_log_RealmLog_getLevel,33,io_realm_log_RealmLog,33,io_realm_log_RealmLog,0
74,io_realm_internal_TableIndexAndDistinctTest_tearDown,34,io_realm_internal_TableIndexAndDistinctTest,16,io_realm_internal_OsSharedRealm,1
75,io_realm_internal_ObserverPairListTests_isEmpty,35,io_realm_internal_ObserverPairListTests,99,io_realm_internal_ObserverPairList,1
76,io_realm_internal_OsSharedRealmTests_renameTable_tableNotExist,36,io_realm_internal_OsSharedRealmTests_renameTable,16,io_realm_internal_OsSharedRealm,1
77,io_realm_internal_OsResults_nativeContains,37,io_realm_internal_OsResults,37,io_realm_internal_OsResults,0
78,io_realm_internal_OsResults_addListener,37,io_realm_internal_OsResults,37,io_realm_internal_OsResults,0
79,io_realm_internal_OsResults_setLongList,37,io_realm_internal_OsResults,37,io_realm_internal_OsResults,0
80,io_realm_internal_OsResults_nativeSetInt,37,io_realm_internal_OsResults,37,io_realm_internal_OsResults,0
81,io_realm_internal_OsResults_removeAllListeners,37,io_realm_internal_OsResults,37,io_realm_internal_OsResults,0
82,io_realm_internal_OsResults_isValid,37,io_realm_internal_OsResults,37,io_realm_internal_OsResults,0
83,io_realm_internal_OsResults_setByteList,37,io_realm_internal_OsResults,37,io_realm_internal_OsResults,0
84,io_realm_internal_OsResults_setDoubleList,37,io_realm_internal_OsResults,37,io_realm_internal_OsResults,0
85,io_realm_internal_OsSharedRealm_waitForChange,16,io_realm_internal_OsSharedRealm,16,io_realm_internal_OsSharedRealm,0
86,io_realm_internal_OsSharedRealm_isFrozen,16,io_realm_internal_OsSharedRealm,16,io_realm_internal_OsSharedRealm,0
87,io_realm_internal_OsSharedRealm_getNativePtr,16,io_realm_internal_OsSharedRealm,16,io_realm_internal_OsSharedRealm,0
88,io_realm_internal_OsSharedRealm_getSchemaInfo,16,io_realm_internal_OsSharedRealm,16,io_realm_internal_OsSharedRealm,0
89,io_realm_internal_UncheckedRow_getByRowKey,23,io_realm_internal_UncheckedRow,23,io_realm_internal_UncheckedRow,0
90,io_realm_internal_UncheckedRow_getDouble,23,io_realm_internal_UncheckedRow,23,io_realm_internal_UncheckedRow,0
91,io_realm_internal_OsSharedRealm_getNumberOfVersions,16,io_realm_internal_OsSharedRealm,16,io_realm_internal_OsSharedRealm,0
92,io_realm_internal_UncheckedRow_getString,23,io_realm_internal_UncheckedRow,23,io_realm_internal_UncheckedRow,0
93,io_realm_internal_OsSharedRealm_isAutoRefresh,16,io_realm_internal_OsSharedRealm,16,io_realm_internal_OsSharedRealm,0
94,io_realm_internal_OsSharedRealm_writeCopy,16,io_realm_internal_OsSharedRealm,16,io_realm_internal_OsSharedRealm,0
95,io_realm_internal_UncheckedRow_UncheckedRow,23,io_realm_internal_UncheckedRow,23,io_realm_internal_UncheckedRow,0
96,io_realm_internal_UncheckedRow_getBinaryByteArray,23,io_realm_internal_UncheckedRow,23,io_realm_internal_UncheckedRow,0
97,io_realm_internal_UncheckedRow_setNull,23,io_realm_internal_UncheckedRow,23,io_realm_internal_UncheckedRow,0
98,io_realm_internal_UncheckedRow_getValueList,23,io_realm_internal_UncheckedRow,23,io_realm_internal_UncheckedRow,0
99,io_realm_internal_OsList_addLong,0,io_realm_internal_OsList,0,io_realm_internal_OsList,0
100,io_realm_mongodb_functions_Functions_invoke,38,io_realm_mongodb_functions_Functions,38,io_realm_mongodb_functions_Functions,0
101,io_realm_internal_UncheckedRow_setFloat,23,io_realm_internal_UncheckedRow,23,io_realm_internal_UncheckedRow,0
102,io_realm_TestHelper_createTable,39,io_realm_TestHelper,39,io_realm_TestHelper,0
103,io_realm_TestHelper_createTableWithAllColumnTypes,39,io_realm_TestHelper,39,io_realm_TestHelper,0
104,io_realm_TestHelper_getFailureLogger,39,io_realm_TestHelper,39,io_realm_TestHelper,0
105,io_realm_entities_NoPrimaryKeyNullTypes_setFieldLongNull,40,io_realm_entities_NoPrimaryKeyNullTypes,40,io_realm_entities_NoPrimaryKeyNullTypes,0
106,io_realm_entities_NoPrimaryKeyNullTypes_setFieldShortNotNull,40,io_realm_entities_NoPrimaryKeyNullTypes,40,io_realm_entities_NoPrimaryKeyNullTypes,0
107,io_realm_examples_rxjava_retrofit_RetrofitExample_createGitHubApi,41,io_realm_examples_rxjava_retrofit_RetrofitExample,41,io_realm_examples_rxjava_retrofit_RetrofitExample,0
108,io_realm_ManagedOrderedRealmCollectionTests_runMethodOnWrongThread,42,io_realm_ManagedOrderedRealmCollectionTests,42,io_realm_ManagedOrderedRealmCollectionTests,0
109,io_realm_ManagedRealmCollectionTests_createCollection,43,io_realm_ManagedRealmCollectionTests,43,io_realm_ManagedRealmCollectionTests,0
110,io_realm_mongodb_mongo_options_FindOptions_sort,44,io_realm_mongodb_mongo_options_FindOptions,44,io_realm_mongodb_mongo_options_FindOptions,0
111,io_realm_internal_Table_nativeSetBoolean,45,io_realm_internal_Table,45,io_realm_internal_Table,0
112,io_realm_internal_Table_nativeIncrementLong,45,io_realm_internal_Table,45,io_realm_internal_Table,0
113,io_realm_mongodb_App_hashCode,7,io_realm_mongodb_App,7,io_realm_mongodb_App,0
114,io_realm_mongodb_User_getDeviceId,46,io_realm_mongodb_User,46,io_realm_mongodb_User,0
115,io_realm_mongodb_User_getApp,46,io_realm_mongodb_User,46,io_realm_mongodb_User,0
116,io_realm_mongodb_User_hashCode,46,io_realm_mongodb_User,46,io_realm_mongodb_User,0
117,io_realm_mongodb_User_checkLoggedIn,46,io_realm_mongodb_User,46,io_realm_mongodb_User,0
118,io_realm_mongodb_Credentials_Credentials,24,io_realm_mongodb_Credentials,24,io_realm_mongodb_Credentials,0
119,io_realm_mongodb_EmailPasswordAuthImpl_nativeCallFunction,47,io_realm_mongodb_EmailPasswordAuthImpl,47,io_realm_mongodb_EmailPasswordAuthImpl,0
120,io_realm_mongodb_sync_SyncSession_nativeAddProgressListener,48,io_realm_mongodb_sync_SyncSession,48,io_realm_mongodb_sync_SyncSession,0
121,io_realm_mongodb_sync_Progress_Progress,49,io_realm_mongodb_sync_Progress,49,io_realm_mongodb_sync_Progress,0
122,io_realm_mongodb_mongo_MongoNamespace_getFullName,1,io_realm_mongodb_mongo_MongoNamespace,1,io_realm_mongodb_mongo_MongoNamespace,0
123,io_realm_mongodb_mongo_options_FindOptions_limit,44,io_realm_mongodb_mongo_options_FindOptions,44,io_realm_mongodb_mongo_options_FindOptions,0
124,io_realm_internal_OsObject_setObserverPairs,13,io_realm_internal_OsObject,13,io_realm_internal_OsObject,0
125,io_realm_mongodb_mongo_iterable_FindIterable_nativeFind,50,io_realm_mongodb_mongo_iterable_FindIterable,50,io_realm_mongodb_mongo_iterable_FindIterable,0
126,io_realm_internal_OsObject_addListener,13,io_realm_internal_OsObject,13,io_realm_internal_OsObject,0
127,io_realm_internal_OsObject_createRow,13,io_realm_internal_OsObject,13,io_realm_internal_OsObject,0
