,completename,nodeId,label,CC,PC,LOC,NCMIC,NCMEC,NECA,NAMFAEC,classID,NCM
0,io_realm_internal_OsList_nativeInsertLong,0,0,1,3,1,0,0,0,0,0,0
1,io_realm_internal_OsList_nativeAddDouble,1,0,1,2,1,0,0,0,0,0,0
2,io_realm_internal_OsList_nativeSetDouble,2,0,1,3,1,0,0,0,0,0,0
3,io_realm_mongodb_mongo_MongoNamespace_getCollectionNameFullName,3,0,2,1,7,0,0,0,0,1,0
4,io_realm_mongodb_sync_ConnectionListener_onChange,4,0,1,2,6,0,0,0,0,2,0
5,io_realm_mongodb_sync_SyncConfiguration_forRecovery,5,0,5,3,11,1,3,2,2,3,4
6,io_realm_rx_RxObservableFactory_changesetsFrom,6,0,1,2,11,0,0,0,0,4,0
7,io_realm_internal_OsList_nativeInsertBoolean,7,0,1,3,1,0,0,0,0,0,0
8,io_realm_internal_ObjectServerFacade_getSyncServerCertificateAssetName,8,0,1,1,3,0,0,0,0,5,0
9,io_realm_internal_OsObjectStore_getPrimaryKeyForObject,9,0,1,2,4,1,2,2,1,6,3
10,io_realm_internal_OsObjectStore_callWithLock,10,0,1,2,11,1,1,1,1,6,2
11,io_realm_mongodb_App_notifyUserLoggedOut,11,0,2,1,10,0,0,0,0,7,0
12,io_realm_internal_NativeContext_addReference,12,0,1,1,3,0,1,1,1,8,1
13,io_realm_internal_OsObjectStore_nativeGetPrimaryKeyForObject,13,0,1,2,1,0,0,0,0,6,0
14,io_realm_internal_RealmProxyMediator_isEmbedded,14,0,1,1,4,0,0,0,0,9,0
15,io_realm_internal_OsCollectionChangeSet_getDeletionRanges,15,0,1,0,6,2,0,0,0,10,2
16,io_realm_internal_ManageableObject_isManaged,16,0,1,0,5,0,0,0,0,11,0
17,io_realm_internal_RealmProxyMediator_hashCode,17,0,1,0,3,1,0,0,0,9,1
18,io_realm_internal_TableQuery_getNativePtr,18,0,1,0,3,0,0,0,0,12,0
19,io_realm_internal_RealmProxyMediator_getNotEmbeddedClassException,19,0,1,1,3,0,0,0,0,9,0
20,io_realm_internal_TableQuery_not,20,0,1,0,5,1,0,0,0,12,1
21,io_realm_internal_RealmProxyMediator_updateEmbeddedObject,21,0,1,5,9,0,0,0,0,9,0
22,io_realm_internal_OsList_nativeRemoveAll,22,0,1,1,1,0,0,0,0,0,0
23,io_realm_internal_TableQuery_nativeSumDecimal128,23,0,1,2,1,0,0,0,0,12,0
24,io_realm_internal_OsList_setRow,24,0,1,2,3,1,0,0,0,0,1
25,io_realm_internal_OsList_nativeInsertBinary,25,0,1,3,1,0,0,0,0,0,0
26,io_realm_internal_OsObject_OsObject,26,0,1,2,4,1,3,3,1,13,4
27,io_realm_internal_TableQuery_nativeCount,27,0,1,1,1,0,0,0,0,12,0
28,io_realm_internal_TableQuery_nativeMinimumDecimal128,28,0,1,2,1,0,0,0,0,12,0
29,io_realm_internal_OsList_nativeAddDate,29,0,1,2,1,0,0,0,0,0,0
30,io_realm_internal_TableQuery_nativeAverageDouble,30,0,1,2,1,0,0,0,0,12,0
31,io_realm_internal_OsObject_nativeCreateRowWithObjectIdPrimaryKey,31,0,1,4,1,0,0,0,0,13,0
32,io_realm_internal_OsObject_nativeCreateRow,32,0,1,1,1,0,0,0,0,13,0
33,io_realm_internal_OsObject_nativeCreateNewObjectWithStringPrimaryKey,33,0,1,4,1,0,0,0,0,13,0
34,io_realm_internal_Row_getFloat,34,0,1,1,1,0,0,0,0,14,0
35,io_realm_internal_Row_setDate,35,0,1,2,1,0,0,0,0,14,0
36,ThreadStressTests_readObjects,36,0,5,1,3,2,0,0,0,15,2
37,io_realm_internal_Row_setLong,37,0,1,2,1,0,0,0,0,14,0
38,io_realm_internal_OsSharedRealm_nativeGetTableRef,38,0,1,2,1,0,0,0,0,16,0
39,io_realm_internal_OsSharedRealm_nativeGetVersionID,39,0,1,1,1,0,0,0,0,16,0
40,io_realm_internal_CheckedRow_getFromRow,40,0,1,1,7,1,0,0,0,17,1
41,io_realm_internal_TableQuery_count,41,0,1,0,10,2,0,0,0,12,2
42,io_realm_internal_OsList_setBinary,42,0,1,2,3,1,0,0,0,0,1
43,io_realm_internal_OsList_insertBoolean,43,0,1,2,3,1,0,0,0,0,1
44,io_realm_internal_RealmNotifier_removeChangeListeners,44,0,1,1,3,0,1,1,1,18,1
45,io_realm_internal_OsList_setFloat,45,0,1,2,3,1,0,0,0,0,1
46,io_realm_internal_OsList_createAndAddEmbeddedObject,46,0,1,0,3,3,0,0,0,0,3
47,io_realm_internal_OsList_isEmpty,47,0,1,0,3,1,0,0,0,0,1
48,io_realm_RealmList_remove,48,0,3,0,18,4,2,2,1,19,6
49,io_realm_ManagedListOperator_insert,49,0,2,2,9,3,0,0,0,20,3
50,io_realm_internal_OsSharedRealmTests_hasTable,50,1,1,0,7,0,4,1,4,21,4
51,io_realm_Realm_Realm,51,0,1,1,4,1,20,9,4,22,21
52,io_realm_internal_CheckedRow_CheckedRow,52,0,1,3,4,0,2,1,2,17,2
53,io_realm_internal_UncheckedRow_getFloat,53,0,1,1,3,1,0,0,0,23,1
54,io_realm_internal_UncheckedRow_getColumnKey,54,0,2,1,6,1,0,0,0,23,1
55,io_realm_internal_TableQuery_nativeMaximumDecimal128,55,0,1,2,1,0,0,0,0,12,0
56,io_realm_mongodb_Credentials_google,56,0,1,1,11,2,2,2,1,24,4
57,io_realm_RealmResults_asFlowable,57,0,3,0,43,0,3,2,2,25,3
58,io_realm_mongodb_auth_ApiKeyAuth_ApiKeyAuth,58,0,1,1,7,0,0,0,0,26,0
59,io_realm_mongodb_UserProfile_getMaxAge,59,0,1,0,8,0,1,1,1,27,1
60,io_realm_MutableRealmInteger_get,60,0,1,0,6,0,0,0,0,28,0
61,io_realm_OrderedCollectionChangeSet_getInsertionRanges,61,0,1,0,5,0,0,0,0,29,0
62,io_realm_RealmResults_asJSON,62,0,1,0,9,0,1,1,1,25,1
63,io_realm_RealmList_RealmList,63,0,1,0,5,2,0,0,0,19,2
64,io_realm_OrderedRealmCollectionImpl_firstImpl,64,0,4,2,3,0,0,0,0,30,0
65,io_realm_Realm_createExpectedSchemaInfo,65,0,1,1,3,0,2,2,1,22,2
66,io_realm_RealmList_checkValidRealm,66,0,1,0,3,0,1,1,1,19,1
67,io_realm_Realm_getDefaultConfiguration,67,0,1,0,9,0,0,0,0,22,0
68,io_realm_Realm_getSchema,68,0,1,0,10,0,0,0,0,22,0
69,io_realm_RealmList_lastImpl,69,0,5,2,17,3,2,1,2,19,5
70,io_realm_RealmObject_isFrozen,70,0,1,0,14,1,3,3,1,31,4
71,io_realm_RealmList_removeChangeListener,71,0,1,1,11,0,4,2,2,19,4
72,io_realm_RealmConfiguration_getMaxNumberOfActiveVersions,72,0,1,0,6,0,0,0,0,32,0
73,io_realm_log_RealmLog_getLevel,73,0,1,0,7,1,0,0,0,33,1
74,io_realm_internal_TableIndexAndDistinctTest_tearDown,74,1,3,0,8,0,4,1,4,34,4
75,io_realm_internal_ObserverPairListTests_isEmpty,75,1,1,0,8,0,3,1,3,35,3
76,io_realm_internal_OsSharedRealmTests_renameTable_tableNotExist,76,1,1,0,7,0,0,0,0,36,0
77,io_realm_internal_OsResults_nativeContains,77,0,1,2,1,0,0,0,0,37,0
78,io_realm_internal_OsResults_addListener,78,0,2,2,3,2,2,1,2,37,4
79,io_realm_internal_OsResults_setLongList,79,0,1,2,8,1,0,0,0,37,1
80,io_realm_internal_OsResults_nativeSetInt,80,0,1,3,1,0,0,0,0,37,0
81,io_realm_internal_OsResults_removeAllListeners,81,0,1,0,4,1,1,1,1,37,2
82,io_realm_internal_OsResults_isValid,82,0,1,0,3,1,0,0,0,37,1
83,io_realm_internal_OsResults_setByteList,83,0,1,2,8,1,0,0,0,37,1
84,io_realm_internal_OsResults_setDoubleList,84,0,1,2,8,1,0,0,0,37,1
85,io_realm_internal_OsSharedRealm_waitForChange,85,0,1,0,3,1,0,0,0,16,1
86,io_realm_internal_OsSharedRealm_isFrozen,86,0,1,0,6,1,0,0,0,16,1
87,io_realm_internal_OsSharedRealm_getNativePtr,87,0,1,0,3,0,0,0,0,16,0
88,io_realm_internal_OsSharedRealm_getSchemaInfo,88,0,1,0,6,0,0,0,0,16,0
89,io_realm_internal_UncheckedRow_getByRowKey,89,0,1,3,11,1,2,1,2,23,3
90,io_realm_internal_UncheckedRow_getDouble,90,0,1,1,3,1,0,0,0,23,1
91,io_realm_internal_OsSharedRealm_getNumberOfVersions,91,0,1,0,3,1,0,0,0,16,1
92,io_realm_internal_UncheckedRow_getString,92,0,1,1,3,1,0,0,0,23,1
93,io_realm_internal_OsSharedRealm_isAutoRefresh,93,0,1,0,3,1,0,0,0,16,1
94,io_realm_internal_OsSharedRealm_writeCopy,94,0,2,2,20,2,1,1,1,16,3
95,io_realm_internal_UncheckedRow_UncheckedRow,95,0,1,3,5,0,1,1,1,23,1
