method_id,method,source_class_id,source_class
0,io_realm_internal_OsList_nativeInsertLong,0,io_realm_internal_OsList
1,io_realm_internal_OsList_nativeAddDouble,0,io_realm_internal_OsList
2,io_realm_internal_OsList_nativeSetDouble,0,io_realm_internal_OsList
3,io_realm_mongodb_mongo_MongoNamespace_getCollectionNameFullName,1,io_realm_mongodb_mongo_MongoNamespace
4,io_realm_mongodb_sync_ConnectionListener_onChange,2,io_realm_mongodb_sync_ConnectionListener
5,io_realm_mongodb_sync_SyncConfiguration_forRecovery,3,io_realm_mongodb_sync_SyncConfiguration
6,io_realm_rx_RxObservableFactory_changesetsFrom,4,io_realm_rx_RxObservableFactory
7,io_realm_internal_OsList_nativeInsertBoolean,0,io_realm_internal_OsList
8,io_realm_internal_ObjectServerFacade_getSyncServerCertificateAssetName,5,io_realm_internal_ObjectServerFacade
9,io_realm_internal_OsObjectStore_getPrimaryKeyForObject,6,io_realm_internal_OsObjectStore
10,io_realm_internal_OsObjectStore_callWithLock,6,io_realm_internal_OsObjectStore
11,io_realm_mongodb_App_notifyUserLoggedOut,7,io_realm_mongodb_App
12,io_realm_internal_NativeContext_addReference,8,io_realm_internal_NativeContext
13,io_realm_internal_OsObjectStore_nativeGetPrimaryKeyForObject,6,io_realm_internal_OsObjectStore
14,io_realm_internal_RealmProxyMediator_isEmbedded,9,io_realm_internal_RealmProxyMediator
15,io_realm_internal_OsCollectionChangeSet_getDeletionRanges,10,io_realm_internal_OsCollectionChangeSet
16,io_realm_internal_ManageableObject_isManaged,11,io_realm_internal_ManageableObject
17,io_realm_internal_RealmProxyMediator_hashCode,9,io_realm_internal_RealmProxyMediator
18,io_realm_internal_TableQuery_getNativePtr,12,io_realm_internal_TableQuery
19,io_realm_internal_RealmProxyMediator_getNotEmbeddedClassException,9,io_realm_internal_RealmProxyMediator
20,io_realm_internal_TableQuery_not,12,io_realm_internal_TableQuery
21,io_realm_internal_RealmProxyMediator_updateEmbeddedObject,9,io_realm_internal_RealmProxyMediator
22,io_realm_internal_OsList_nativeRemoveAll,0,io_realm_internal_OsList
23,io_realm_internal_TableQuery_nativeSumDecimal128,12,io_realm_internal_TableQuery
24,io_realm_internal_OsList_setRow,0,io_realm_internal_OsList
25,io_realm_internal_OsList_nativeInsertBinary,0,io_realm_internal_OsList
26,io_realm_internal_OsObject_OsObject,13,io_realm_internal_OsObject
27,io_realm_internal_TableQuery_nativeCount,12,io_realm_internal_TableQuery
28,io_realm_internal_TableQuery_nativeMinimumDecimal128,12,io_realm_internal_TableQuery
29,io_realm_internal_OsList_nativeAddDate,0,io_realm_internal_OsList
30,io_realm_internal_TableQuery_nativeAverageDouble,12,io_realm_internal_TableQuery
31,io_realm_internal_OsObject_nativeCreateRowWithObjectIdPrimaryKey,13,io_realm_internal_OsObject
32,io_realm_internal_OsObject_nativeCreateRow,13,io_realm_internal_OsObject
33,io_realm_internal_OsObject_nativeCreateNewObjectWithStringPrimaryKey,13,io_realm_internal_OsObject
34,io_realm_internal_Row_getFloat,14,io_realm_internal_Row
35,io_realm_internal_Row_setDate,14,io_realm_internal_Row
36,ThreadStressTests_readObjects,15,ThreadStressTests
37,io_realm_internal_Row_setLong,14,io_realm_internal_Row
38,io_realm_internal_OsSharedRealm_nativeGetTableRef,16,io_realm_internal_OsSharedRealm
39,io_realm_internal_OsSharedRealm_nativeGetVersionID,16,io_realm_internal_OsSharedRealm
40,io_realm_internal_CheckedRow_getFromRow,17,io_realm_internal_CheckedRow
41,io_realm_internal_TableQuery_count,12,io_realm_internal_TableQuery
42,io_realm_internal_OsList_setBinary,0,io_realm_internal_OsList
43,io_realm_internal_OsList_insertBoolean,0,io_realm_internal_OsList
44,io_realm_internal_RealmNotifier_removeChangeListeners,18,io_realm_internal_RealmNotifier
45,io_realm_internal_OsList_setFloat,0,io_realm_internal_OsList
46,io_realm_internal_OsList_createAndAddEmbeddedObject,0,io_realm_internal_OsList
47,io_realm_internal_OsList_isEmpty,0,io_realm_internal_OsList
48,io_realm_RealmList_remove,19,io_realm_RealmList
49,io_realm_ManagedListOperator_insert,20,io_realm_ManagedListOperator
50,io_realm_internal_OsSharedRealmTests_hasTable,21,io_realm_internal_OsSharedRealmTests
51,io_realm_Realm_Realm,22,io_realm_Realm
52,io_realm_internal_CheckedRow_CheckedRow,17,io_realm_internal_CheckedRow
53,io_realm_internal_UncheckedRow_getFloat,23,io_realm_internal_UncheckedRow
54,io_realm_internal_UncheckedRow_getColumnKey,23,io_realm_internal_UncheckedRow
55,io_realm_internal_TableQuery_nativeMaximumDecimal128,12,io_realm_internal_TableQuery
56,io_realm_mongodb_Credentials_google,24,io_realm_mongodb_Credentials
57,io_realm_RealmResults_asFlowable,25,io_realm_RealmResults
58,io_realm_mongodb_auth_ApiKeyAuth_ApiKeyAuth,26,io_realm_mongodb_auth_ApiKeyAuth
59,io_realm_mongodb_UserProfile_getMaxAge,27,io_realm_mongodb_UserProfile
60,io_realm_MutableRealmInteger_get,28,io_realm_MutableRealmInteger
61,io_realm_OrderedCollectionChangeSet_getInsertionRanges,29,io_realm_OrderedCollectionChangeSet
62,io_realm_RealmResults_asJSON,25,io_realm_RealmResults
63,io_realm_RealmList_RealmList,19,io_realm_RealmList
64,io_realm_OrderedRealmCollectionImpl_firstImpl,30,io_realm_OrderedRealmCollectionImpl
65,io_realm_Realm_createExpectedSchemaInfo,22,io_realm_Realm
66,io_realm_RealmList_checkValidRealm,19,io_realm_RealmList
67,io_realm_Realm_getDefaultConfiguration,22,io_realm_Realm
68,io_realm_Realm_getSchema,22,io_realm_Realm
69,io_realm_RealmList_lastImpl,19,io_realm_RealmList
70,io_realm_RealmObject_isFrozen,31,io_realm_RealmObject
71,io_realm_RealmList_removeChangeListener,19,io_realm_RealmList
72,io_realm_RealmConfiguration_getMaxNumberOfActiveVersions,32,io_realm_RealmConfiguration
73,io_realm_log_RealmLog_getLevel,33,io_realm_log_RealmLog
74,io_realm_internal_TableIndexAndDistinctTest_tearDown,34,io_realm_internal_TableIndexAndDistinctTest
75,io_realm_internal_ObserverPairListTests_isEmpty,35,io_realm_internal_ObserverPairListTests
76,io_realm_internal_OsSharedRealmTests_renameTable_tableNotExist,36,io_realm_internal_OsSharedRealmTests_renameTable
77,io_realm_internal_OsResults_nativeContains,37,io_realm_internal_OsResults
78,io_realm_internal_OsResults_addListener,37,io_realm_internal_OsResults
79,io_realm_internal_OsResults_setLongList,37,io_realm_internal_OsResults
80,io_realm_internal_OsResults_nativeSetInt,37,io_realm_internal_OsResults
81,io_realm_internal_OsResults_removeAllListeners,37,io_realm_internal_OsResults
82,io_realm_internal_OsResults_isValid,37,io_realm_internal_OsResults
83,io_realm_internal_OsResults_setByteList,37,io_realm_internal_OsResults
84,io_realm_internal_OsResults_setDoubleList,37,io_realm_internal_OsResults
85,io_realm_internal_OsSharedRealm_waitForChange,16,io_realm_internal_OsSharedRealm
86,io_realm_internal_OsSharedRealm_isFrozen,16,io_realm_internal_OsSharedRealm
87,io_realm_internal_OsSharedRealm_getNativePtr,16,io_realm_internal_OsSharedRealm
88,io_realm_internal_OsSharedRealm_getSchemaInfo,16,io_realm_internal_OsSharedRealm
89,io_realm_internal_UncheckedRow_getByRowKey,23,io_realm_internal_UncheckedRow
90,io_realm_internal_UncheckedRow_getDouble,23,io_realm_internal_UncheckedRow
91,io_realm_internal_OsSharedRealm_getNumberOfVersions,16,io_realm_internal_OsSharedRealm
92,io_realm_internal_UncheckedRow_getString,23,io_realm_internal_UncheckedRow
93,io_realm_internal_OsSharedRealm_isAutoRefresh,16,io_realm_internal_OsSharedRealm
94,io_realm_internal_OsSharedRealm_writeCopy,16,io_realm_internal_OsSharedRealm
95,io_realm_internal_UncheckedRow_UncheckedRow,23,io_realm_internal_UncheckedRow
96,io_realm_internal_UncheckedRow_getBinaryByteArray,23,io_realm_internal_UncheckedRow
97,io_realm_internal_UncheckedRow_setNull,23,io_realm_internal_UncheckedRow
98,io_realm_internal_UncheckedRow_getValueList,23,io_realm_internal_UncheckedRow
99,io_realm_internal_OsList_addLong,0,io_realm_internal_OsList
100,io_realm_mongodb_functions_Functions_invoke,38,io_realm_mongodb_functions_Functions
101,io_realm_internal_UncheckedRow_setFloat,23,io_realm_internal_UncheckedRow
102,io_realm_TestHelper_createTable,39,io_realm_TestHelper
103,io_realm_TestHelper_createTableWithAllColumnTypes,39,io_realm_TestHelper
104,io_realm_TestHelper_getFailureLogger,39,io_realm_TestHelper
105,io_realm_entities_NoPrimaryKeyNullTypes_setFieldLongNull,40,io_realm_entities_NoPrimaryKeyNullTypes
106,io_realm_entities_NoPrimaryKeyNullTypes_setFieldShortNotNull,40,io_realm_entities_NoPrimaryKeyNullTypes
107,io_realm_examples_rxjava_retrofit_RetrofitExample_createGitHubApi,41,io_realm_examples_rxjava_retrofit_RetrofitExample
108,io_realm_ManagedOrderedRealmCollectionTests_runMethodOnWrongThread,42,io_realm_ManagedOrderedRealmCollectionTests
109,io_realm_ManagedRealmCollectionTests_createCollection,43,io_realm_ManagedRealmCollectionTests
110,io_realm_mongodb_mongo_options_FindOptions_sort,44,io_realm_mongodb_mongo_options_FindOptions
111,io_realm_internal_Table_nativeSetBoolean,45,io_realm_internal_Table
112,io_realm_internal_Table_nativeIncrementLong,45,io_realm_internal_Table
113,io_realm_mongodb_App_hashCode,7,io_realm_mongodb_App
114,io_realm_mongodb_User_getDeviceId,46,io_realm_mongodb_User
115,io_realm_mongodb_User_getApp,46,io_realm_mongodb_User
116,io_realm_mongodb_User_hashCode,46,io_realm_mongodb_User
117,io_realm_mongodb_User_checkLoggedIn,46,io_realm_mongodb_User
118,io_realm_mongodb_Credentials_Credentials,24,io_realm_mongodb_Credentials
119,io_realm_mongodb_EmailPasswordAuthImpl_nativeCallFunction,47,io_realm_mongodb_EmailPasswordAuthImpl
120,io_realm_mongodb_sync_SyncSession_nativeAddProgressListener,48,io_realm_mongodb_sync_SyncSession
121,io_realm_mongodb_sync_Progress_Progress,49,io_realm_mongodb_sync_Progress
122,io_realm_mongodb_mongo_MongoNamespace_getFullName,1,io_realm_mongodb_mongo_MongoNamespace
123,io_realm_mongodb_mongo_options_FindOptions_limit,44,io_realm_mongodb_mongo_options_FindOptions
124,io_realm_internal_OsObject_setObserverPairs,13,io_realm_internal_OsObject
125,io_realm_mongodb_mongo_iterable_FindIterable_nativeFind,50,io_realm_mongodb_mongo_iterable_FindIterable
126,io_realm_internal_OsObject_addListener,13,io_realm_internal_OsObject
127,io_realm_internal_OsObject_createRow,13,io_realm_internal_OsObject
128,io_realm_mongodb_log_obfuscator_HttpLogObfuscator_equals,51,io_realm_mongodb_log_obfuscator_HttpLogObfuscator
129,io_realm_MutableRealmIntegerTests_checkTransactionException,52,io_realm_MutableRealmIntegerTests
130,io_realm_OrderedRealmCollectionTests_createCollectionWithMultipleCopies,53,io_realm_OrderedRealmCollectionTests
131,io_realm_RealmJsonTests_createObjectFromJson_objectIdAsString,54,io_realm_RealmJsonTests_createObjectFromJson
132,io_realm_RealmJsonTests_createObjectFromJson_emptyChildObjectList,54,io_realm_RealmJsonTests_createObjectFromJson
133,io_realm_RealmJsonTests_createObjectFromJson_objectWithPrimaryKeySetValueDirectlyFromJsonObject,54,io_realm_RealmJsonTests_createObjectFromJson
134,io_realm_RealmObjectSchemaTests_renameField_withPrimaryKey,55,io_realm_RealmObjectSchemaTests_renameField
135,io_realm_RealmQueryTests_populateTestRealm,56,io_realm_RealmQueryTests
136,io_realm_RealmTests_populateTestRealm,57,io_realm_RealmTests
137,io_realm_RealmSchemaTests_remove_shouldRemoveInfoFromPKTable,58,io_realm_RealmSchemaTests_remove
138,io_realm_SortTest_checkSortTwoFieldsStringAscendingIntAscending,59,io_realm_SortTest
139,io_realm_ProxyState_load,60,io_realm_ProxyState
140,io_realm_RealmList_deleteAllFromRealm,19,io_realm_RealmList
141,io_realm_RealmList_first,19,io_realm_RealmList
142,io_realm_RealmObjectSchema_isRequired,61,io_realm_RealmObjectSchema
143,io_realm_RealmObjectSchema_addRealmListField,61,io_realm_RealmObjectSchema
144,io_realm_RealmObjectSchema_getFieldColumnKey,61,io_realm_RealmObjectSchema
145,io_realm_RealmQuery_greaterThanOrEqualTo,62,io_realm_RealmQuery
146,io_realm_RealmQuery_greaterThan,62,io_realm_RealmQuery
147,io_realm_RealmResults_removeAllChangeListeners,25,io_realm_RealmResults
148,io_realm_entities_DefaultValueFromOtherConstructor_DefaultValueFromOtherConstructor,63,io_realm_entities_DefaultValueFromOtherConstructor
149,io_realm_entities_NoPrimaryKeyNullTypes_setFieldBooleanNull,40,io_realm_entities_NoPrimaryKeyNullTypes
150,io_realm_entities_NoPrimaryKeyNullTypes_setFieldDoubleNotNull,40,io_realm_entities_NoPrimaryKeyNullTypes
151,io_realm_entities_AllTypes_setColumnMutableRealmInteger,64,io_realm_entities_AllTypes
152,io_realm_entities_Owner_getDogs,65,io_realm_entities_Owner
153,io_realm_entities_PrimaryKeyAsBoxedByte_PrimaryKeyAsBoxedByte,66,io_realm_entities_PrimaryKeyAsBoxedByte
154,io_realm_entities_NullTypes_getFieldDoubleListNotNull,67,io_realm_entities_NullTypes
155,io_realm_entities_NullTypes_setFieldDecimal128Null,67,io_realm_entities_NullTypes
156,io_realm_internal_android_AndroidRealmNotifier_AndroidRealmNotifier,68,io_realm_internal_android_AndroidRealmNotifier
157,io_realm_internal_JNITableInsertTest_tearDown,69,io_realm_internal_JNITableInsertTest
158,io_realm_internal_PrimaryKeyTests_getTableWithPrimaryKey,70,io_realm_internal_PrimaryKeyTests
159,io_realm_internal_ColumnInfo_ColumnInfo,71,io_realm_internal_ColumnInfo
160,io_realm_internal_IOException_IOException,72,io_realm_internal_IOException
161,io_realm_internal_OsCollectionChangeSet_longArrayToRangeArray,10,io_realm_internal_OsCollectionChangeSet
162,io_realm_internal_OsCollectionChangeSet_isFirstAsyncCallback,10,io_realm_internal_OsCollectionChangeSet
163,io_realm_internal_OsList_move,0,io_realm_internal_OsList
164,io_realm_internal_OsList_removeListener,0,io_realm_internal_OsList
165,io_realm_internal_OsList_nativeAddString,0,io_realm_internal_OsList
166,io_realm_internal_OsObjectSchemaInfo_nativeCreateRealmObjectSchema,73,io_realm_internal_OsObjectSchemaInfo
167,io_realm_internal_OsResults_nativeEvaluateQueryIfNeeded,37,io_realm_internal_OsResults
168,io_realm_internal_OsResults_removeListener,37,io_realm_internal_OsResults
169,io_realm_internal_OsResults_nativeIndexOf,37,io_realm_internal_OsResults
170,io_realm_internal_OsSharedRealm_nativeCreateTable,16,io_realm_internal_OsSharedRealm
171,io_realm_internal_Table_nativeSetEmbedded,45,io_realm_internal_Table
172,io_realm_internal_OsSharedRealm_nativeGetSchemaInfo,16,io_realm_internal_OsSharedRealm
173,io_realm_internal_RealmProxyMediator_getModelClasses,9,io_realm_internal_RealmProxyMediator
174,io_realm_internal_Table_count,45,io_realm_internal_Table
175,io_realm_internal_Table_getColumnType,45,io_realm_internal_Table
176,io_realm_internal_Table_nativeFindFirstTimestamp,45,io_realm_internal_Table
177,io_realm_internal_Table_nativeFindFirstDecimal128,45,io_realm_internal_Table
178,io_realm_internal_TableQuery_nativeAverageFloat,12,io_realm_internal_TableQuery
179,io_realm_internal_TableQuery_minimumDecimal128,12,io_realm_internal_TableQuery
180,io_realm_internal_Util_getStackTrace,74,io_realm_internal_Util
181,io_realm_internal_UncheckedRow_nativeGetLink,23,io_realm_internal_UncheckedRow
182,io_realm_internal_test_ExtraTests_assertArrayEquals,75,io_realm_internal_test_ExtraTests
183,io_realm_exceptions_RealmFileException_RealmFileException,76,io_realm_exceptions_RealmFileException
184,io_realm_internal_objectstore_OsApp_nativeGetAllUsers,77,io_realm_internal_objectstore_OsApp
185,io_realm_rx_RxObservableFactory_from,4,io_realm_rx_RxObservableFactory
186,io_realm_internal_objectstore_OsMongoDatabase_getCollection,78,io_realm_internal_objectstore_OsMongoDatabase
187,io_realm_internal_objectstore_OsSyncUser_nativeGetMaxAge,79,io_realm_internal_objectstore_OsSyncUser
188,io_realm_internal_objectstore_OsWatchStream_nativeGetFinalizerMethodPtr,80,io_realm_internal_objectstore_OsWatchStream
189,io_realm_internal_objectserver_Token_Token,81,io_realm_internal_objectserver_Token
190,io_realm_internal_log_obfuscator_EmailPasswordObfuscator_EmailPasswordObfuscator,82,io_realm_internal_log_obfuscator_EmailPasswordObfuscator
191,io_realm_mongodb_UserProfile_getEmail,27,io_realm_mongodb_UserProfile
192,io_realm_RealmCache_getCache,83,io_realm_RealmCache
193,io_realm_internal_OsRealmConfig_nativeSetSchemaConfig,84,io_realm_internal_OsRealmConfig
194,io_realm_internal_OsRealmConfig_getRealmConfiguration,84,io_realm_internal_OsRealmConfig
195,io_realm_internal_OsRealmConfig_getContext,84,io_realm_internal_OsRealmConfig
196,io_realm_DoubleListOperator_DoubleListOperator,85,io_realm_DoubleListOperator
197,io_realm_BooleanListOperator_BooleanListOperator,86,io_realm_BooleanListOperator
198,io_realm_RealmCache_createRealmOrGetFromCache,83,io_realm_RealmCache
199,io_realm_RealmCache_createRealmOrGetFromCacheAsync,83,io_realm_RealmCache
200,io_realm_internal_OsRealmConfig_nativeSetSyncConfigProxySettings,84,io_realm_internal_OsRealmConfig
201,io_realm_internal_OsRealmConfig_nativeCreateAndSetSyncConfig,84,io_realm_internal_OsRealmConfig
202,io_realm_mongodb_User_getCustomData,46,io_realm_mongodb_User
203,io_realm_RealmQuery_equalTo,62,io_realm_RealmQuery
204,io_realm_OrderedRealmCollectionImpl_sort,30,io_realm_OrderedRealmCollectionImpl
205,io_realm_RealmList_addChangeListener,19,io_realm_RealmList
206,some_test_AllTypes_realmGet$columnFloat,87,some_test_AllTypes
207,io_realm_examples_unittesting_ExampleActivity_cleanUp,88,io_realm_examples_unittesting_ExampleActivity
208,io_realm_RealmJsonTests_createOrUpdateObjectFromJson_jsonObjectNullClass,89,io_realm_RealmJsonTests_createOrUpdateObjectFromJson
209,io_realm_mongodb_sync_SyncSession_addProgressListener,48,io_realm_mongodb_sync_SyncSession
210,io_realm_RealmList_last,19,io_realm_RealmList
211,io_realm_internal_OsSharedRealm_getTable,16,io_realm_internal_OsSharedRealm
212,some_test_NullTypes_realmGet$fieldDateNull,90,some_test_NullTypes
213,io_realm_internal_Row_getTable,14,io_realm_internal_Row
214,io_realm_internal_Table_findFirstBoolean,45,io_realm_internal_Table
215,io_realm_RealmConfiguration_shouldDeleteRealmIfMigrationNeeded,32,io_realm_RealmConfiguration
216,io_realm_RealmCache_doCreateRealmOrGetFromCache,83,io_realm_RealmCache
217,io_realm_OrderedRealmCollection_deleteLastFromRealm,91,io_realm_OrderedRealmCollection
218,io_realm_entities_NonLatinFieldNames_getChildren,92,io_realm_entities_NonLatinFieldNames
219,io_realm_internal_OsList_addNull,0,io_realm_internal_OsList
220,io_realm_TestHelper_awaitOrFail,39,io_realm_TestHelper
221,io_realm_RealmObject_getRealm,31,io_realm_RealmObject
222,io_realm_internal_TableQuery_contains,12,io_realm_internal_TableQuery
