method_id,method,CC,PC,LOC,NCMIC,NCMEC,NECA,NAMFAEC
0,io_realm_internal_OsList_nativeInsertLong,1,3,1,0,0,0,0
1,io_realm_internal_OsList_nativeAddDouble,1,2,1,0,0,0,0
2,io_realm_internal_OsList_nativeSetDouble,1,3,1,0,0,0,0
3,io_realm_mongodb_mongo_MongoNamespace_getCollectionNameFullName,2,1,7,0,0,0,0
4,io_realm_mongodb_sync_ConnectionListener_onChange,1,2,6,0,0,0,0
5,io_realm_mongodb_sync_SyncConfiguration_forRecovery,5,3,11,1,3,2,2
6,io_realm_rx_RxObservableFactory_changesetsFrom,1,2,11,0,0,0,0
7,io_realm_internal_OsList_nativeInsertBoolean,1,3,1,0,0,0,0
8,io_realm_internal_ObjectServerFacade_getSyncServerCertificateAssetName,1,1,3,0,0,0,0
9,io_realm_internal_OsObjectStore_getPrimaryKeyForObject,1,2,4,1,2,2,1
10,io_realm_internal_OsObjectStore_callWithLock,1,2,11,1,1,1,1
11,io_realm_mongodb_App_notifyUserLoggedOut,2,1,10,0,0,0,0
12,io_realm_internal_NativeContext_addReference,1,1,3,0,1,1,1
13,io_realm_internal_OsObjectStore_nativeGetPrimaryKeyForObject,1,2,1,0,0,0,0
14,io_realm_internal_RealmProxyMediator_isEmbedded,1,1,4,0,0,0,0
15,io_realm_internal_OsCollectionChangeSet_getDeletionRanges,1,0,6,2,0,0,0
16,io_realm_internal_ManageableObject_isManaged,1,0,5,0,0,0,0
17,io_realm_internal_RealmProxyMediator_hashCode,1,0,3,1,0,0,0
18,io_realm_internal_TableQuery_getNativePtr,1,0,3,0,0,0,0
19,io_realm_internal_RealmProxyMediator_getNotEmbeddedClassException,1,1,3,0,0,0,0
20,io_realm_internal_TableQuery_not,1,0,5,1,0,0,0
21,io_realm_internal_RealmProxyMediator_updateEmbeddedObject,1,5,9,0,0,0,0
22,io_realm_internal_OsList_nativeRemoveAll,1,1,1,0,0,0,0
23,io_realm_internal_TableQuery_nativeSumDecimal128,1,2,1,0,0,0,0
24,io_realm_internal_OsList_setRow,1,2,3,1,0,0,0
25,io_realm_internal_OsList_nativeInsertBinary,1,3,1,0,0,0,0
26,io_realm_internal_OsObject_OsObject,1,2,4,1,3,3,1
27,io_realm_internal_TableQuery_nativeCount,1,1,1,0,0,0,0
28,io_realm_internal_TableQuery_nativeMinimumDecimal128,1,2,1,0,0,0,0
29,io_realm_internal_OsList_nativeAddDate,1,2,1,0,0,0,0
30,io_realm_internal_TableQuery_nativeAverageDouble,1,2,1,0,0,0,0
31,io_realm_internal_OsObject_nativeCreateRowWithObjectIdPrimaryKey,1,4,1,0,0,0,0
32,io_realm_internal_OsObject_nativeCreateRow,1,1,1,0,0,0,0
33,io_realm_internal_OsObject_nativeCreateNewObjectWithStringPrimaryKey,1,4,1,0,0,0,0
34,io_realm_internal_Row_getFloat,1,1,1,0,0,0,0
35,io_realm_internal_Row_setDate,1,2,1,0,0,0,0
36,ThreadStressTests_readObjects,5,1,3,2,0,0,0
37,io_realm_internal_Row_setLong,1,2,1,0,0,0,0
38,io_realm_internal_OsSharedRealm_nativeGetTableRef,1,2,1,0,0,0,0
