method_id,method,CC,PC,LOC,NCMIC,NCMEC,NECA,NAMFAEC
0,org_apache_activemq_transport_amqp_client_util_TypeConversionSupport_convert,1,1,2,1,0,0,0
1,org_apache_activemq_broker_QueueSubscriptionTest_testOneProducerManyConsumersManyMessages,1,0,11,1,4,2,2
2,org_apache_activemq_junit_ActiveMQTestRunner_withPotentialRepeat,2,2,11,0,1,1,1
3,org_apache_activemq_transport_amqp_AmqpFrameParser_reset,1,1,5,1,0,0,0
4,org_apache_activemq_transport_amqp_AmqpHeader_setMinor,1,1,3,0,0,0,0
5,org_apache_activemq_transport_amqp_AmqpWireFormat_setTransformer,1,1,3,0,0,0,0
6,org_apache_activemq_transport_amqp_AmqpTestSupport_getProxyToQueueSubscriber,2,1,9,0,3,3,1
7,org_apache_activemq_transport_amqp_AmqpTestSupport_sendMessages,2,3,15,2,0,0,0
8,org_apache_activemq_transport_amqp_JMSClientContext_createConnection,1,4,15,5,0,0,0
9,org_apache_activemq_transport_amqp_JMSClientContext_createQueueConnection,1,4,15,5,0,0,0
10,org_apache_activemq_transport_amqp_JMSClientTestSupport_createConnection,1,1,5,4,1,1,1
11,org_apache_activemq_transport_amqp_message_UTF8BufferType_getTypeClass,1,0,3,0,0,0,0
12,org_apache_activemq_transport_amqp_message_JMSMappingOutboundTransformerTest_createTextMessage,2,2,14,2,3,3,1
13,org_apache_activemq_transport_amqp_protocol_AmqpConnection_pumpProtonToSocket,3,0,19,0,2,1,2
14,org_apache_activemq_transport_amqp_protocol_AmqpReceiver_getProducerId,1,0,6,0,1,1,1
15,org_apache_activemq_transport_amqp_protocol_AmqpConnection_getNextSessionId,1,0,3,0,1,1,1
16,org_apache_activemq_transport_amqp_protocol_AmqpConnection_processLinkFlow,2,1,6,0,1,1,1
17,org_apache_activemq_transport_amqp_protocol_AmqpSession_pumpProtonToSocket,1,0,6,0,1,1,1
18,org_apache_activemq_transport_amqp_client_AmqpAbstractResource_failed,4,1,13,1,1,1,1
19,org_apache_activemq_transport_amqp_protocol_AmqpWireFormatTest_testWhenSaslAllowedNonSaslHeaderIsValid,1,0,8,0,4,2,2
20,org_apache_activemq_transport_amqp_client_AmqpClient_connect,2,3,15,4,1,1,1
21,org_apache_activemq_transport_amqp_client_AmqpClient_setMechanismRestriction,1,1,6,0,0,0,0
22,org_apache_activemq_transport_amqp_client_AmqpMessage_lazyCreateDeliveryAnnotations,2,0,6,0,0,0,0
23,org_apache_activemq_transport_amqp_client_AmqpReceiver_postRollback,1,0,2,0,0,0,0
24,org_apache_activemq_transport_amqp_client_AmqpSender_AmqpSender,2,5,17,1,0,0,0
25,org_apache_activemq_transport_amqp_client_AmqpSession_createSender,1,1,29,12,19,3,10
26,org_apache_activemq_transport_amqp_client_AmqpSession_createReceiver,1,2,23,11,15,3,6
27,org_apache_activemq_transport_amqp_client_transport_NettyTransportSslOptions_setTrustStoreLocation,1,1,6,0,0,0,0
28,org_apache_activemq_transport_amqp_client_transport_NettyTcpTransport_checkConnected,2,0,5,0,0,0,0
29,org_apache_activemq_transport_amqp_client_transport_NettyTransportSupport_createSslHandler,1,2,11,2,0,0,0
30,org_apache_activemq_transport_amqp_client_transport_NettyTransportOptions_clone,1,0,3,1,0,0,0
31,org_apache_activemq_transport_amqp_client_transport_NettyTransportOptions_getSendBufferSize,1,0,6,0,0,0,0
32,org_apache_activemq_transport_amqp_client_util_ClientFuture_sync,1,0,14,2,2,1,2
33,org_apache_activemq_transport_amqp_client_util_UnmodifiableProxy_connectionProxy,1,1,3,1,0,0,0
34,org_apache_activemq_transport_amqp_AmqpWireFormat_marshal,4,2,18,1,2,1,2
35,org_apache_activemq_transport_amqp_interop_AmqpReceiverTest_doModifiedDispositionTestImpl,3,2,33,0,14,7,3
36,org_apache_activemq_transport_amqp_AmqpInactivityMonitor_AmqpInactivityMonitor,1,2,3,0,1,1,1
37,org_apache_activemq_advisory_AdvisoryBroker_getVirtualDestinationConsumers,1,0,3,0,0,0,0
38,org_apache_activemq_advisory_AdvisorySupport_getConnectionAdvisoryTopic,1,0,3,0,0,0,0
39,org_apache_activemq_advisory_AdvisorySupport_isNetworkBridgeAdvisoryTopic,4,1,14,2,5,2,4
40,org_apache_activemq_transport_amqp_JMSClientProducerFlowSendFailIfNoSpace_createConnection,2,2,16,1,1,1,1
41,org_apache_activemq_advisory_ConsumerEventSource_ConsumerEventSource,1,2,4,0,1,1,1
42,org_apache_activemq_advisory_AdvisorySupport_getMessageDeliveredAdvisoryTopic,1,1,4,1,4,3,2
43,org_apache_activemq_advisory_AdvisorySupport_getNoConsumersAdvisoryTopic,2,1,6,3,2,2,1
44,org_apache_activemq_advisory_ProducerStoppedEvent_ProducerStoppedEvent,1,4,3,0,1,1,1
45,org_apache_activemq_advisory_ConsumerListenerTest_waitForConsumerEvent,1,0,5,0,0,0,0
46,org_apache_activemq_advisory_DestinationSource_setDestinationListener,1,1,3,0,0,0,0
47,org_apache_activemq_broker_BrokerFactory_createBroker,1,1,10,4,2,2,1
48,org_apache_activemq_broker_AbstractLocker_getLockAcquireSleepInterval,1,0,3,0,0,0,0
49,org_apache_activemq_broker_BrokerService_addProxyConnector,2,1,9,5,3,1,3
50,org_apache_activemq_broker_BrokerService_getNetworkConnectorByName,3,1,8,0,1,1,1
51,org_apache_activemq_broker_BrokerService_setPopulateJMSXUserID,1,1,6,0,0,0,0
52,org_apache_activemq_broker_BrokerService_scheduleDiskUsageLimitsCheck,2,0,27,2,1,1,1
53,org_apache_activemq_broker_BrokerService_createDefaultDestinationInterceptor,3,0,21,2,2,2,1
54,org_apache_activemq_broker_BrokerService_createBroker,2,0,27,2,0,0,0
55,org_apache_activemq_broker_ConnectionContext_getConnection,1,0,6,0,0,0,0
56,org_apache_activemq_broker_BrokerStoppedException_BrokerStoppedException,1,0,3,0,0,0,0
57,org_apache_activemq_broker_MapTransportConnectionStateRegister_lookupConnectionState,2,1,7,3,9,4,4
58,org_apache_activemq_broker_TransportConnection_setMarkedCandidate,2,1,10,0,0,0,0
59,org_apache_activemq_broker_TransportConnection_isBlockedCandidate,1,0,6,0,0,0,0
60,org_apache_activemq_broker_TransportConnector_getMaximumProducersAllowedPerConnection,1,0,3,0,0,0,0
61,org_apache_activemq_broker_TransportConnector_setAuditNetworkProducers,1,1,8,0,0,0,0
62,org_apache_activemq_broker_TransportConnectionStateRegister_lookupConnectionState,1,1,1,0,0,0,0
63,org_apache_activemq_broker_TransportConnectionState_getReferenceCounter,1,0,3,0,0,0,0
64,org_apache_activemq_broker_MarshallingBrokerTest_suite,1,0,3,0,1,1,1
65,org_apache_activemq_broker_RedeliveryRestartWithExceptionTest_configureBroker,1,2,9,0,5,3,3
66,org_apache_activemq_broker_StubConnection_StubConnection,3,2,25,2,4,4,1
67,org_apache_activemq_broker_StubConnection_getTransport,1,0,3,0,0,0,0
68,org_apache_activemq_broker_RedeliveryRestartWithExceptionTest_createRestartedBroker,1,0,5,1,0,0,0
69,org_apache_activemq_broker_DoubleSubscriptionTest_suite,1,0,3,0,1,1,1
70,org_apache_activemq_broker_TopicSubscriptionTest_testOneProducerTwoConsumersLargeMessagesOnePrefetch,1,0,10,0,3,2,2
71,org_apache_activemq_broker_jmx_BrokerMBeanSupport_createDestinationName,1,2,5,3,0,0,0
72,org_apache_activemq_broker_jmx_AbortSlowConsumerStrategyView_abortConnection,1,1,3,2,5,5,1
73,org_apache_activemq_broker_jmx_BrokerMBeanSupport_createConnectorName,1,3,6,1,1,1,1
74,org_apache_activemq_broker_jmx_AbortSlowConsumerStrategyViewMBean_abortConsumer,1,1,1,0,0,0,0
75,org_apache_activemq_broker_jmx_BrokerViewMBean_getDurableTopicSubscribers,1,0,1,0,0,0,0
76,org_apache_activemq_broker_jmx_BrokerViewMBean_getBrokerName,1,0,4,0,0,0,0
77,org_apache_activemq_broker_jmx_BrokerView_enableStatistics,1,0,3,1,2,2,1
78,org_apache_activemq_broker_jmx_DestinationView_getBlockedSends,1,0,3,0,3,3,1
79,org_apache_activemq_transport_amqp_AmqpProtocolException_AmqpProtocolException,1,2,6,5,0,0,0
80,org_apache_activemq_broker_jmx_ManagedRegionBroker_registerSubscription,4,2,44,2,26,14,6
81,org_apache_activemq_broker_jmx_ManagedRegionBroker_unregisterSubscription,4,2,27,1,21,10,5
82,org_apache_activemq_broker_jmx_ManagementContext_sanitizeString,2,1,14,0,0,0,0
83,org_apache_activemq_broker_jmx_QueueViewMBean_getCursorMemoryUsage,1,0,4,0,0,0,0
84,org_apache_activemq_broker_jmx_TransportConnectorMBeanTest_doVerifyClientIdNetwork,1,1,21,1,9,4,6
85,org_apache_activemq_broker_jmx_MBeanOperationTimeoutTest_sendMessages,2,1,17,0,1,1,1
86,org_apache_activemq_broker_jmx_TopicSubscriptionViewMBean_setMaximumPendingQueueSize,1,1,1,0,0,0,0
87,org_apache_activemq_broker_jmx_SubscriptionViewMBean_getUserName,1,0,6,0,0,0,0
88,org_apache_activemq_broker_region_AbstractRegion_getDestinationMap,1,0,3,0,0,0,0
89,org_apache_activemq_broker_region_BaseDestination_setBlockedProducerWarningInterval,1,1,10,0,0,0,0
90,org_apache_activemq_broker_region_AbstractSubscription_setPrefetchSize,1,1,3,0,1,1,1
91,org_apache_activemq_broker_region_BaseDestination_isAdvisoryForSlowConsumers,1,0,6,0,0,0,0
92,org_apache_activemq_broker_region_BaseDestination_setUseCache,1,1,3,0,0,0,0
93,org_apache_activemq_broker_region_DurableTopicSubscription_add,5,2,6,1,12,9,2
94,org_apache_activemq_broker_region_DestinationStatistics_getDequeues,1,0,3,0,0,0,0
95,org_apache_activemq_broker_region_DestinationStatistics_getBlockedSends,1,0,3,0,0,0,0
96,org_apache_activemq_broker_region_PrefetchSubscription_getPendingQueueSize,1,0,3,0,1,1,1
97,org_apache_activemq_broker_region_Queue_setUseConsumerPriority,1,1,3,0,0,0,0
98,org_apache_activemq_broker_region_Queue_registerCallbackForNotFullNotification,2,0,5,0,1,1,1
99,org_apache_activemq_broker_region_PrefetchSubscription_setMaxProducersToAudit,2,1,6,0,1,1,1
100,org_apache_activemq_broker_region_Queue_doDispatch,9,1,34,2,6,3,4
101,org_apache_activemq_broker_region_Queue_getConsumerMessageCountBeforeFull,3,0,17,0,2,1,2
102,org_apache_activemq_broker_region_Queue_removeMessage,1,2,38,6,18,12,6
103,org_apache_activemq_broker_region_QueueMessageReference_lock,1,1,1,0,0,0,0
104,org_apache_activemq_broker_region_Topic_canOptimizeOutPersistence,1,0,3,0,0,0,0
105,org_apache_activemq_broker_region_SubscriptionStatistics_setEnabled,1,1,8,0,1,1,1
106,org_apache_activemq_broker_SslContext_SslContext,3,3,9,3,0,0,0
107,org_apache_activemq_broker_region_QueuePurgeTest_testPurgeLargeQueue,1,0,34,4,4,2,2
108,org_apache_activemq_broker_region_cursors_AbstractPendingMessageCursor_recordUniqueId,2,1,11,0,1,1,1
109,org_apache_activemq_broker_region_cursors_PendingList_get,1,1,1,0,0,0,0
110,org_apache_activemq_broker_region_cursors_FilePendingMessageCursor_isDiskListEmpty,1,0,3,0,1,1,1
111,org_apache_activemq_broker_region_cursors_AbstractStoreCursor_messageSize,1,0,3,1,0,0,0
112,org_apache_activemq_broker_region_cursors_AbstractStoreCursor_resetBatch,1,0,1,0,0,0,0
113,org_apache_activemq_broker_region_cursors_PendingMessageCursor_isEmpty,1,0,6,0,0,0,0
114,org_apache_activemq_broker_region_cursors_PrioritizedPendingList_getList,1,1,3,1,0,0,0
115,org_apache_activemq_broker_region_cursors_AbstractPendingMessageCursorTest_AbstractPendingMessageCursorTest,1,1,7,0,0,0,0
116,org_apache_activemq_broker_region_cursors_KahaDBPendingMessageCursorTest_KahaDBPendingMessageCursorTest,1,2,7,0,1,1,1
117,org_apache_activemq_broker_region_policy_AbortSlowAckConsumerStrategy_getMaxTimeSinceLastAck,1,0,7,0,0,0,0
118,org_apache_activemq_broker_region_policy_DeadLetterStrategy_setProcessExpired,1,1,4,0,0,0,0
119,org_apache_activemq_broker_region_policy_PolicyEntry_getMessageGroupMapFactory,2,0,11,1,1,1,1
120,org_apache_activemq_broker_region_policy_SimpleDispatchSelector_SimpleDispatchSelector,1,1,6,0,0,0,0
121,org_apache_activemq_broker_region_policy_PolicyEntry_configure,1,3,6,32,60,18,12
122,org_apache_activemq_broker_region_virtual_VirtualDestination_interceptMappedDestination,1,1,4,0,0,0,0
123,org_apache_activemq_broker_region_virtual_CompositeDestination_isForwardOnly,1,0,3,0,0,0,0
124,org_apache_activemq_broker_region_virtual_CompositeDestinationFilter_doForward,1,4,8,0,7,3,5
125,org_apache_activemq_broker_region_policy_PolicyEntry_isReduceMemoryFootprint,1,0,3,0,0,0,0
126,org_apache_activemq_broker_scheduler_JobScheduler_getName,1,0,5,0,0,0,0
127,org_apache_activemq_broker_scheduler_JobScheduler_removeAllJobs,1,0,7,0,0,0,0
128,org_apache_activemq_broker_scheduler_JobScheduler_schedule,1,6,11,0,0,0,0
129,org_apache_activemq_broker_scheduler_memory_InMemoryJob_getPayload,1,0,3,0,0,0,0
130,org_apache_activemq_broker_scheduler_KahaDBSchedulerMissingJournalLogsTest_createScheduler,1,0,6,0,2,1,2
131,org_apache_activemq_broker_view_ConnectionDotFileInterceptor_printProducers,3,6,32,2,6,2,4
132,org_apache_activemq_filter_ComparisonExpression_evaluate,3,1,11,1,1,1,1
133,org_apache_activemq_filter_PropertyExpression_evaluate,3,1,11,0,7,3,3
134,org_apache_activemq_filter_DestinationMapTest_assertMapValue,1,7,18,7,1,1,1
135,org_apache_activemq_usage_Usage_waitForSpace,1,1,34,4,0,0,0
136,org_apache_activemq_memory_list_DestinationBasedMessageList_DestinationBasedMessageList,1,1,3,1,1,1,1
