method_id,method,source_class_id,source_class,target_class_id,target_class,label
0,com_google_security_zynamics_zylib_gui_FileChooser_FileChooserPanel_FileChooserPanel,0,com_google_security_zynamics_zylib_gui_FileChooser_FileChooserPanel,0,com_google_security_zynamics_zylib_gui_FileChooser_FileChooserPanel,0
1,com_google_security_zynamics_zylib_gui_JHexPanel_ColoredRange_ColoredRange,1,com_google_security_zynamics_zylib_gui_JHexPanel_ColoredRange,1,com_google_security_zynamics_zylib_gui_JHexPanel_ColoredRange,0
2,com_google_security_zynamics_zylib_gui_JHexPanel_ColoredRangeManager_addRange,2,com_google_security_zynamics_zylib_gui_JHexPanel_ColoredRangeManager,2,com_google_security_zynamics_zylib_gui_JHexPanel_ColoredRangeManager,0
3,com_google_security_zynamics_zylib_gui_JHexPanel_SimpleDataProvider_getData,3,com_google_security_zynamics_zylib_gui_JHexPanel_SimpleDataProvider,3,com_google_security_zynamics_zylib_gui_JHexPanel_SimpleDataProvider,0
4,com_google_security_zynamics_zylib_gui_jtree_IconNode_IconNode,4,com_google_security_zynamics_zylib_gui_jtree_IconNode,4,com_google_security_zynamics_zylib_gui_jtree_IconNode,0
5,com_google_security_zynamics_zylib_gui_JHexPanel_ColoredRange_containsOffset,1,com_google_security_zynamics_zylib_gui_JHexPanel_ColoredRange,1,com_google_security_zynamics_zylib_gui_JHexPanel_ColoredRange,0
6,com_google_security_zynamics_zylib_gui_JCaret_JCaret_JCaret,5,com_google_security_zynamics_zylib_gui_JCaret_JCaret,5,com_google_security_zynamics_zylib_gui_JCaret_JCaret,0
7,com_google_security_zynamics_zylib_gui_JStackView_JStackView_JStackView,6,com_google_security_zynamics_zylib_gui_JStackView_JStackView,6,com_google_security_zynamics_zylib_gui_JStackView_JStackView,0
8,com_google_security_zynamics_zylib_gui_JHexPanel_JHexView_uncolorizeAll,7,com_google_security_zynamics_zylib_gui_JHexPanel_JHexView,7,com_google_security_zynamics_zylib_gui_JHexPanel_JHexView,0
9,com_google_security_zynamics_zylib_gui_jtree_TreeHelpers_expandAll,8,com_google_security_zynamics_zylib_gui_jtree_TreeHelpers,8,com_google_security_zynamics_zylib_gui_jtree_TreeHelpers,0
10,com_google_security_zynamics_zylib_gui_tables_CTableSorter_CTableSorter,9,com_google_security_zynamics_zylib_gui_tables_CTableSorter,9,com_google_security_zynamics_zylib_gui_tables_CTableSorter,0
11,com_google_security_zynamics_zylib_gui_scripting_ScriptingLanguage_ScriptingLanguage,10,com_google_security_zynamics_zylib_gui_scripting_ScriptingLanguage,10,com_google_security_zynamics_zylib_gui_scripting_ScriptingLanguage,0
12,com_google_security_zynamics_zylib_gui_textfields_JTextFieldLimit_JTextFieldLimit,11,com_google_security_zynamics_zylib_gui_textfields_JTextFieldLimit,11,com_google_security_zynamics_zylib_gui_textfields_JTextFieldLimit,0
13,com_google_security_zynamics_zylib_gui_scripting_ScriptRunner_runScript,12,com_google_security_zynamics_zylib_gui_scripting_ScriptRunner,12,com_google_security_zynamics_zylib_gui_scripting_ScriptRunner,0
14,com_google_security_zynamics_zylib_gui_scripting_AbstractScriptPanel_getInputPane,13,com_google_security_zynamics_zylib_gui_scripting_AbstractScriptPanel,13,com_google_security_zynamics_zylib_gui_scripting_AbstractScriptPanel,0
15,com_google_security_zynamics_zylib_gui_JStackView_IStackModel_addListener,14,com_google_security_zynamics_zylib_gui_JStackView_IStackModel,14,com_google_security_zynamics_zylib_gui_JStackView_IStackModel,0
16,com_google_security_zynamics_zylib_gui_JStackView_IStackModelListener_dataChanged,15,com_google_security_zynamics_zylib_gui_JStackView_IStackModelListener,15,com_google_security_zynamics_zylib_gui_JStackView_IStackModelListener,0
17,com_google_security_zynamics_zylib_gui_zygraph_edges_CViewEdge_isSelected,16,com_google_security_zynamics_zylib_gui_zygraph_edges_CViewEdge,16,com_google_security_zynamics_zylib_gui_zygraph_edges_CViewEdge,0
18,com_google_security_zynamics_zylib_gui_zygraph_edges_CViewEdge_getId,16,com_google_security_zynamics_zylib_gui_zygraph_edges_CViewEdge,16,com_google_security_zynamics_zylib_gui_zygraph_edges_CViewEdge,0
19,com_google_security_zynamics_zylib_gui_zygraph_editmode_IStateAction_execute,17,com_google_security_zynamics_zylib_gui_zygraph_editmode_IStateAction,17,com_google_security_zynamics_zylib_gui_zygraph_editmode_IStateAction,0
20,com_google_security_zynamics_zylib_gui_zygraph_helpers_GraphConverters_convert,18,com_google_security_zynamics_zylib_gui_zygraph_helpers_GraphConverters,18,com_google_security_zynamics_zylib_gui_zygraph_helpers_GraphConverters,0
21,com_google_security_zynamics_zylib_gui_zygraph_nodes_CViewNode_setBorderColor,19,com_google_security_zynamics_zylib_gui_zygraph_nodes_CViewNode,19,com_google_security_zynamics_zylib_gui_zygraph_nodes_CViewNode,0
22,com_google_security_zynamics_zylib_gui_zygraph_nodes_ICodeNode_instructionCount,20,com_google_security_zynamics_zylib_gui_zygraph_nodes_ICodeNode,20,com_google_security_zynamics_zylib_gui_zygraph_nodes_ICodeNode,0
23,com_google_security_zynamics_zylib_gui_zygraph_realizers_KeyBehaviours_CAbstractKeyBehavior_undo,21,com_google_security_zynamics_zylib_gui_zygraph_realizers_KeyBehaviours_CAbstractKeyBehavior,21,com_google_security_zynamics_zylib_gui_zygraph_realizers_KeyBehaviours_CAbstractKeyBehavior,0
24,com_google_security_zynamics_zylib_gui_zygraph_AbstractZyGraphSettings_getLayoutSettings,22,com_google_security_zynamics_zylib_gui_zygraph_AbstractZyGraphSettings,22,com_google_security_zynamics_zylib_gui_zygraph_AbstractZyGraphSettings,0
25,com_google_security_zynamics_zylib_gui_zygraph_CDefaultLabelEventHandler_registerListener,23,com_google_security_zynamics_zylib_gui_zygraph_CDefaultLabelEventHandler,23,com_google_security_zynamics_zylib_gui_zygraph_CDefaultLabelEventHandler,0
26,com_google_security_zynamics_zylib_gui_zygraph_realizers_ZyLabelContent_getSelectedText,24,com_google_security_zynamics_zylib_gui_zygraph_realizers_ZyLabelContent,886,com_google_security_zynamics_zylib_gui_zygraph_realizers_ZyCaret,1
27,com_google_security_zynamics_zylib_gui_zygraph_realizers_ZyLabelContent_setSloppy,24,com_google_security_zynamics_zylib_gui_zygraph_realizers_ZyLabelContent,24,com_google_security_zynamics_zylib_gui_zygraph_realizers_ZyLabelContent,0
28,com_google_security_zynamics_zylib_gui_zygraph_realizers_ZyLabelContent_getCaret,24,com_google_security_zynamics_zylib_gui_zygraph_realizers_ZyLabelContent,24,com_google_security_zynamics_zylib_gui_zygraph_realizers_ZyLabelContent,0
29,com_google_security_zynamics_zylib_gui_zygraph_realizers_KeyBehaviours_CAbstractKeyBehavior_isAboveLineComment,21,com_google_security_zynamics_zylib_gui_zygraph_realizers_KeyBehaviours_CAbstractKeyBehavior,21,com_google_security_zynamics_zylib_gui_zygraph_realizers_KeyBehaviours_CAbstractKeyBehavior,0
30,com_google_security_zynamics_zylib_gui_zygraph_realizers_CHighlighting_getStart,25,com_google_security_zynamics_zylib_gui_zygraph_realizers_CHighlighting,25,com_google_security_zynamics_zylib_gui_zygraph_realizers_CHighlighting,0
31,com_google_security_zynamics_zylib_gui_zygraph_realizers_ZyLabelContent_ZyLabelContent,24,com_google_security_zynamics_zylib_gui_zygraph_realizers_ZyLabelContent,24,com_google_security_zynamics_zylib_gui_zygraph_realizers_ZyLabelContent,0
32,com_google_security_zynamics_zylib_gui_zygraph_realizers_CHighlighting_CHighlighting,25,com_google_security_zynamics_zylib_gui_zygraph_realizers_CHighlighting,25,com_google_security_zynamics_zylib_gui_zygraph_realizers_CHighlighting,0
33,com_google_security_zynamics_zylib_gui_zygraph_nodes_IViewNode_setBorderColor,26,com_google_security_zynamics_zylib_gui_zygraph_nodes_IViewNode,26,com_google_security_zynamics_zylib_gui_zygraph_nodes_IViewNode,0
34,com_google_security_zynamics_zylib_gui_zygraph_editmode_states_CBackgroundClickedLeftState_CBackgroundClickedLeftState,27,com_google_security_zynamics_zylib_gui_zygraph_editmode_states_CBackgroundClickedLeftState,27,com_google_security_zynamics_zylib_gui_zygraph_editmode_states_CBackgroundClickedLeftState,0
35,com_google_security_zynamics_zylib_gui_zygraph_realizers_KeyBehaviours_CAbstractKeyBehavior_getLastLineXPos,21,com_google_security_zynamics_zylib_gui_zygraph_realizers_KeyBehaviours_CAbstractKeyBehavior,21,com_google_security_zynamics_zylib_gui_zygraph_realizers_KeyBehaviours_CAbstractKeyBehavior,0
36,com_google_security_zynamics_zylib_gui_zygraph_realizers_KeyBehaviours_CCursorKeyBehavior_handleShiftAndCtrl,28,com_google_security_zynamics_zylib_gui_zygraph_realizers_KeyBehaviours_CCursorKeyBehavior,28,com_google_security_zynamics_zylib_gui_zygraph_realizers_KeyBehaviours_CCursorKeyBehavior,0
37,com_google_security_zynamics_zylib_gui_zygraph_realizers_ZyLineContent_setBackgroundColor,29,com_google_security_zynamics_zylib_gui_zygraph_realizers_ZyLineContent,29,com_google_security_zynamics_zylib_gui_zygraph_realizers_ZyLineContent,0
38,com_google_security_zynamics_zylib_types_common_CollectionHelpers_count,30,com_google_security_zynamics_zylib_types_common_CollectionHelpers,30,com_google_security_zynamics_zylib_types_common_CollectionHelpers,0
39,com_google_security_zynamics_zylib_yfileswrap_gui_zygraph_AbstractZyGraph_showNodes,31,com_google_security_zynamics_zylib_yfileswrap_gui_zygraph_AbstractZyGraph,31,com_google_security_zynamics_zylib_yfileswrap_gui_zygraph_AbstractZyGraph,0
40,com_google_security_zynamics_zylib_types_graphs_MutableDirectedGraph_MutableDirectedGraph,32,com_google_security_zynamics_zylib_types_graphs_MutableDirectedGraph,32,com_google_security_zynamics_zylib_types_graphs_MutableDirectedGraph,0
41,com_google_security_zynamics_zylib_yfileswrap_gui_zygraph_GraphExporters_configureExportView,33,com_google_security_zynamics_zylib_yfileswrap_gui_zygraph_GraphExporters,33,com_google_security_zynamics_zylib_yfileswrap_gui_zygraph_GraphExporters,0
42,com_google_security_zynamics_zylib_yfileswrap_gui_zygraph_IZyGraphListener_edgeClicked,34,com_google_security_zynamics_zylib_yfileswrap_gui_zygraph_IZyGraphListener,34,com_google_security_zynamics_zylib_yfileswrap_gui_zygraph_IZyGraphListener,0
43,com_google_security_zynamics_zylib_yfileswrap_gui_zygraph_edges_ZyGraphEdge_ZyGraphEdge,35,com_google_security_zynamics_zylib_yfileswrap_gui_zygraph_edges_ZyGraphEdge,35,com_google_security_zynamics_zylib_yfileswrap_gui_zygraph_edges_ZyGraphEdge,0
44,com_google_security_zynamics_zylib_yfileswrap_gui_zygraph_edges_ZyInfoEdge_ZyInfoEdge,36,com_google_security_zynamics_zylib_yfileswrap_gui_zygraph_edges_ZyInfoEdge,36,com_google_security_zynamics_zylib_yfileswrap_gui_zygraph_edges_ZyInfoEdge,0
45,com_google_security_zynamics_zylib_yfileswrap_gui_zygraph_editmode_actions_CDefaultNodeEnterAction_highlightEdges,37,com_google_security_zynamics_zylib_yfileswrap_gui_zygraph_editmode_actions_CDefaultNodeEnterAction,37,com_google_security_zynamics_zylib_yfileswrap_gui_zygraph_editmode_actions_CDefaultNodeEnterAction,0
46,com_google_security_zynamics_zylib_yfileswrap_gui_zygraph_GraphExporters_exportGraphPartToImageFileFormat,33,com_google_security_zynamics_zylib_yfileswrap_gui_zygraph_GraphExporters,33,com_google_security_zynamics_zylib_yfileswrap_gui_zygraph_GraphExporters,0
