,completename,nodeId,label,CC,PC,LOC,NCMIC,NCMEC,NECA,NAMFAEC,classID,NCM
0,com_google_security_zynamics_zylib_gui_FileChooser_FileChooserPanel_FileChooserPanel,0,0,1,2,24,3,0,0,0,0,3
1,com_google_security_zynamics_zylib_gui_JHexPanel_ColoredRange_ColoredRange,1,0,1,4,6,0,0,0,0,1,0
2,com_google_security_zynamics_zylib_gui_JHexPanel_ColoredRangeManager_addRange,2,0,1,1,4,0,0,0,0,2,0
3,com_google_security_zynamics_zylib_gui_JHexPanel_SimpleDataProvider_getData,3,0,1,2,3,2,0,0,0,3,2
4,com_google_security_zynamics_zylib_gui_jtree_IconNode_IconNode,4,0,1,0,4,2,0,0,0,4,2
5,com_google_security_zynamics_zylib_gui_JHexPanel_ColoredRange_containsOffset,5,0,1,1,3,0,0,0,0,1,0
6,com_google_security_zynamics_zylib_gui_JCaret_JCaret_JCaret,6,0,1,1,14,3,0,0,0,5,3
7,com_google_security_zynamics_zylib_gui_JStackView_JStackView_JStackView,7,0,1,1,17,1,2,2,1,6,3
8,com_google_security_zynamics_zylib_gui_JHexPanel_JHexView_uncolorizeAll,8,0,2,0,7,0,2,1,2,7,2
9,com_google_security_zynamics_zylib_gui_jtree_TreeHelpers_expandAll,9,0,1,2,4,2,0,0,0,8,2
10,com_google_security_zynamics_zylib_gui_tables_CTableSorter_CTableSorter,10,0,1,2,5,5,0,0,0,9,5
11,com_google_security_zynamics_zylib_gui_scripting_ScriptingLanguage_ScriptingLanguage,11,0,1,2,4,0,0,0,0,10,0
12,com_google_security_zynamics_zylib_gui_textfields_JTextFieldLimit_JTextFieldLimit,12,0,1,1,3,1,0,0,0,11,1
13,com_google_security_zynamics_zylib_gui_scripting_ScriptRunner_runScript,13,0,1,3,6,3,6,3,3,12,9
14,com_google_security_zynamics_zylib_gui_scripting_AbstractScriptPanel_getInputPane,14,0,1,0,3,0,0,0,0,13,0
15,com_google_security_zynamics_zylib_gui_JStackView_IStackModel_addListener,15,0,1,1,5,0,0,0,0,14,0
16,com_google_security_zynamics_zylib_gui_JStackView_IStackModelListener_dataChanged,16,0,1,0,4,0,0,0,0,15,0
17,com_google_security_zynamics_zylib_gui_zygraph_edges_CViewEdge_isSelected,17,0,1,0,3,0,0,0,0,16,0
18,com_google_security_zynamics_zylib_gui_zygraph_edges_CViewEdge_getId,18,0,1,0,3,0,0,0,0,16,0
19,com_google_security_zynamics_zylib_gui_zygraph_editmode_IStateAction_execute,19,0,1,2,6,0,0,0,0,17,0
20,com_google_security_zynamics_zylib_gui_zygraph_helpers_GraphConverters_convert,20,0,2,1,8,0,2,2,1,18,2
21,com_google_security_zynamics_zylib_gui_zygraph_nodes_CViewNode_setBorderColor,21,0,3,1,15,0,1,1,1,19,1
22,com_google_security_zynamics_zylib_gui_zygraph_nodes_ICodeNode_instructionCount,22,0,1,0,1,0,0,0,0,20,0
23,com_google_security_zynamics_zylib_gui_zygraph_realizers_KeyBehaviours_CAbstractKeyBehavior_undo,23,0,1,0,3,0,1,1,1,21,1
24,com_google_security_zynamics_zylib_gui_zygraph_AbstractZyGraphSettings_getLayoutSettings,24,0,1,0,1,0,0,0,0,22,0
25,com_google_security_zynamics_zylib_gui_zygraph_CDefaultLabelEventHandler_registerListener,25,0,2,0,5,1,1,1,1,23,2
26,com_google_security_zynamics_zylib_gui_zygraph_realizers_ZyLabelContent_getSelectedText,26,1,9,0,37,1,6,2,5,24,7
27,com_google_security_zynamics_zylib_gui_zygraph_realizers_ZyLabelContent_setSloppy,27,0,1,1,3,0,0,0,0,24,0
28,com_google_security_zynamics_zylib_gui_zygraph_realizers_ZyLabelContent_getCaret,28,0,1,0,3,0,0,0,0,24,0
29,com_google_security_zynamics_zylib_gui_zygraph_realizers_KeyBehaviours_CAbstractKeyBehavior_isAboveLineComment,29,0,3,1,10,1,1,1,1,21,2
30,com_google_security_zynamics_zylib_gui_zygraph_realizers_CHighlighting_getStart,30,0,1,0,3,0,0,0,0,25,0
31,com_google_security_zynamics_zylib_gui_zygraph_realizers_ZyLabelContent_ZyLabelContent,31,0,1,3,5,0,0,0,0,24,0
32,com_google_security_zynamics_zylib_gui_zygraph_realizers_CHighlighting_CHighlighting,32,0,1,4,6,0,0,0,0,25,0
33,com_google_security_zynamics_zylib_gui_zygraph_nodes_IViewNode_setBorderColor,33,0,1,1,1,0,0,0,0,26,0
34,com_google_security_zynamics_zylib_gui_zygraph_editmode_states_CBackgroundClickedLeftState_CBackgroundClickedLeftState,34,0,1,2,4,0,0,0,0,27,0
