method_id,method,source_class_id,source_class,target_class_id,target_class,label
0,org_apache_kafka_common_Cluster_Cluster,0,org_apache_kafka_common_Cluster,0,org_apache_kafka_common_Cluster,0
1,org_apache_kafka_clients_consumer_KafkaConsumer_KafkaConsumer,1,org_apache_kafka_clients_consumer_KafkaConsumer,1,org_apache_kafka_clients_consumer_KafkaConsumer,0
2,org_apache_kafka_clients_admin_RemoveMembersFromConsumerGroupResult_removeAll,2,org_apache_kafka_clients_admin_RemoveMembersFromConsumerGroupResult,2,org_apache_kafka_clients_admin_RemoveMembersFromConsumerGroupResult,0
3,org_apache_kafka_clients_admin_ConsumerGroupListing_ConsumerGroupListing,3,org_apache_kafka_clients_admin_ConsumerGroupListing,3,org_apache_kafka_clients_admin_ConsumerGroupListing,0
4,org_apache_kafka_clients_NodeApiVersions_create,4,org_apache_kafka_clients_NodeApiVersions,4,org_apache_kafka_clients_NodeApiVersions,0
5,org_apache_kafka_clients_ClientUtils_parseAndValidateAddresses,5,org_apache_kafka_clients_ClientUtils,5,org_apache_kafka_clients_ClientUtils,0
6,org_apache_kafka_clients_admin_Admin_listConsumerGroupOffsets,6,org_apache_kafka_clients_admin_Admin,6,org_apache_kafka_clients_admin_Admin,0
7,org_apache_kafka_clients_admin_ConfigEntry_ConfigEntry,7,org_apache_kafka_clients_admin_ConfigEntry,7,org_apache_kafka_clients_admin_ConfigEntry,0
8,org_apache_kafka_clients_admin_KafkaAdminClient_completeAllExceptionally,8,org_apache_kafka_clients_admin_KafkaAdminClient,8,org_apache_kafka_clients_admin_KafkaAdminClient,0
9,org_apache_kafka_clients_ClusterConnectionStates_currentAddress,9,org_apache_kafka_clients_ClusterConnectionStates,9,org_apache_kafka_clients_ClusterConnectionStates,0
10,org_apache_kafka_clients_ClusterConnectionStates_authenticationFailed,9,org_apache_kafka_clients_ClusterConnectionStates,9,org_apache_kafka_clients_ClusterConnectionStates,0
11,org_apache_kafka_clients_admin_ListOffsetsOptions_ListOffsetsOptions,10,org_apache_kafka_clients_admin_ListOffsetsOptions,10,org_apache_kafka_clients_admin_ListOffsetsOptions,0
12,org_apache_kafka_clients_admin_RecordsToDelete_beforeOffset,11,org_apache_kafka_clients_admin_RecordsToDelete,11,org_apache_kafka_clients_admin_RecordsToDelete,0
13,org_apache_kafka_clients_admin_MemberAssignment_MemberAssignment,12,org_apache_kafka_clients_admin_MemberAssignment,12,org_apache_kafka_clients_admin_MemberAssignment,0
14,org_apache_kafka_clients_admin_NewTopic_replicationFactor,13,org_apache_kafka_clients_admin_NewTopic,13,org_apache_kafka_clients_admin_NewTopic,0
15,org_apache_kafka_clients_admin_NewPartitionReassignment_NewPartitionReassignment,14,org_apache_kafka_clients_admin_NewPartitionReassignment,14,org_apache_kafka_clients_admin_NewPartitionReassignment,0
16,org_apache_kafka_clients_admin_ListConsumerGroupOffsetsOptions_topicPartitions,15,org_apache_kafka_clients_admin_ListConsumerGroupOffsetsOptions,15,org_apache_kafka_clients_admin_ListConsumerGroupOffsetsOptions,0
17,org_apache_kafka_clients_ClusterConnectionStates_isReady,9,org_apache_kafka_clients_ClusterConnectionStates,9,org_apache_kafka_clients_ClusterConnectionStates,0
18,org_apache_kafka_clients_Metadata_newMetadataRequestAndVersion,16,org_apache_kafka_clients_Metadata,16,org_apache_kafka_clients_Metadata,0
19,org_apache_kafka_clients_MetadataCache_MetadataCache,17,org_apache_kafka_clients_MetadataCache,17,org_apache_kafka_clients_MetadataCache,0
20,org_apache_kafka_clients_MockClient_respond,18,org_apache_kafka_clients_MockClient,18,org_apache_kafka_clients_MockClient,0
21,org_apache_kafka_clients_Metadata_requestUpdateForNewTopics,16,org_apache_kafka_clients_Metadata,16,org_apache_kafka_clients_Metadata,0
22,org_apache_kafka_clients_consumer_KafkaConsumer_commitSync,1,org_apache_kafka_clients_consumer_KafkaConsumer,1,org_apache_kafka_clients_consumer_KafkaConsumer,0
23,org_apache_kafka_clients_consumer_ConsumerRecords_records,19,org_apache_kafka_clients_consumer_ConsumerRecords,19,org_apache_kafka_clients_consumer_ConsumerRecords,0
24,org_apache_kafka_clients_consumer_ConsumerRebalanceListener_onPartitionsRevoked,20,org_apache_kafka_clients_consumer_ConsumerRebalanceListener,20,org_apache_kafka_clients_consumer_ConsumerRebalanceListener,0
25,org_apache_kafka_clients_NetworkClientTest_createExpectedApiVersionsResponse,21,org_apache_kafka_clients_NetworkClientTest,21,org_apache_kafka_clients_NetworkClientTest,0
26,org_apache_kafka_clients_consumer_Consumer_close,22,org_apache_kafka_clients_consumer_Consumer,22,org_apache_kafka_clients_consumer_Consumer,0
27,org_apache_kafka_clients_consumer_ConsumerRecord_ConsumerRecord,23,org_apache_kafka_clients_consumer_ConsumerRecord,23,org_apache_kafka_clients_consumer_ConsumerRecord,0
28,org_apache_kafka_clients_consumer_Consumer_committed,22,org_apache_kafka_clients_consumer_Consumer,22,org_apache_kafka_clients_consumer_Consumer,0
