caller_id,callee_id
6633,6624
2106,2101
1749,9221
8188,2099
6376,6627
7162,6627
5876,6627
9751,6627
9221,6627
6623,6627
1789,2098
8168,2098
6627,2098
9755,2098
6634,2100
5876,9751
1773,6623
1773,6376
2100,4352
8313,4352
2098,4352
2099,4352
4352,4352
1773,7162
3447,3447
4455,4455
974,974
3750,3750
968,968
271,271
266,266
3230,3230
2907,2907
5723,5723
7159,7159
7212,7212
4426,4426
3823,3823
835,835
835,835
835,835
4427,4427
4839,4839
7090,7090
3549,3549
970,970
861,861
966,966
8874,8874
8660,8660
8660,8660
8660,8660
972,972
267,267
4841,4841
6,6
3702,3702
969,969
268,268
268,268
268,268
268,268
967,967
4392,4392
2728,2728
273,273
1009,273
273,273
1009,273
273,273
273,273
7,7
4639,4639
3,3
994,994
988,988
9326,1014
8418,1014
8545,3883
7239,5894
5894,5894
9206,5894
8,8
7228,993
7147,993
8612,993
993,993
7228,993
7147,993
8612,993
275,275
7239,5624
5624,5624
9206,5624
8157,8612
5874,5274
5874,5274
9539,1005
5445,5445
4306,4306
11,11
4341,4341
9515,9515
9346,4390
5443,5443
5443,5443
5446,5443
5893,5905
5893,5905
997,997
9375,12
2,4429
3536,3536
3536,3536
5918,1018
5918,9628
5880,1016
5,5
4120,8729
5926,10
5929,10
5926,1020
9185,1020
5926,3471
5926,9
5926,287
5929,287
17,3970
17,17
290,9428
1023,9428
5924,9428
5926,1019
9185,1019
3802,3802
24,8304
27,27
27,27
27,27
27,27
308,5967
7031,7031
8762,7031
1132,7031
7523,7031
5967,7031
5967,8425
35,35
1140,35
5962,35
8568,35
8425,1140
4504,1140
308,1140
5459,1140
1147,5461
5788,1141
1135,8568
1140,8568
3179,8568
1141,8568
1142,8568
9319,8568
7981,8568
5463,4504
308,308
308,308
9109,7523
8425,7523
1136,7523
7981,1136
1137,7981
8425,5788
7857,5788
7343,5788
8425,2865
2871,1195
7955,1195
319,1195
48,1195
3160,1195
7955,849
319,849
48,849
319,319
319,1198
2871,2944
7955,2944
319,2944
48,2944
3160,1200
2871,2871
2871,2871
2871,7636
7955,7636
319,7636
48,7636
48,48
310,310
1143,8753
8753,9524
1146,9524
5965,9524
2858,9064
1144,9064
1144,9064
5460,9064
1145,9064
5981,9064
5460,9064
1144,1144
5460,5460
4417,5965
9064,5965
5455,1145
33,1145
33,1145
1143,4417
33,33
5966,33
3709,9093
9093,5273
9093,3245
4864,8376
4524,8740
8923,8740
8923,4880
4515,4880
8923,1149
9015,1149
4880,3658
9015,4515
38,2938
3658,1157
1149,4524
7354,5964
1148,8514
45,8514
3502,8514
4879,8514
8209,8514
8793,4872
45,4872
5964,8859
8923,8859
7713,8859
1157,8859
8859,8859
2938,8137
5964,4865
5990,6002
4216,6002
5987,6002
9612,4116
4645,4645
1204,1208
5993,1208
5990,1208
4216,1208
5987,1208
8755,5998
5987,5998
1210,1210
1209,1210
5988,1210
2715,1210
1210,5994
1209,6001
5988,6001
2715,6001
5990,3353
5990,5802
6001,5802
5993,4172
5990,1207
8755,1207
5987,1207
5990,1205
5985,9435
7958,9435
5985,5986
7958,5986
309,309
43,1154
1163,7559
43,7559
1154,9236
8592,1160
43,43
43,43
43,43
43,43
9180,43
1160,43
7988,43
7324,43
311,43
1159,43
1164,43
43,7875
306,306
7988,3990
7387,1165
1165,1165
7387,4419
4419,4419
40,40
3535,3535
4875,8415
2754,4875
3552,4875
5974,8956
4875,1171
8429,3552
7722,8606
9086,7722
4871,1172
2754,8649
3552,8649
5977,1173
3568,1173
5972,1173
1172,9256
7437,9256
1166,1167
9256,1167
1173,7275
1172,8429
7437,8429
5471,5978
5978,9572
2893,2893
2893,2893
9144,9144
1196,1196
1196,1196
1196,1196
1196,1196
1196,1196
1196,1196
1196,1196
1196,1196
875,1196
3864,3864
3038,3864
6006,3864
1201,3864
6006,3864
6006,7419
3038,3038
3038,3038
3038,3038
320,320
1214,1214
1214,1214
1214,1214
3420,5995
3038,5995
3038,2887
6006,2887
1214,4327
1196,7752
3420,7752
1214,7752
1196,3086
3420,3086
1196,9231
3420,9231
2700,1151
2700,8164
2700,4410
2700,7524
2700,1170
2700,4085
2700,5469
2700,5976
1217,9507
4433,9458
1178,9458
1176,9458
313,9458
313,8493
9458,7845
4360,4560
4433,2802
46,4360
2802,1178
4873,313
2802,1179
4360,1177
1178,46
46,46
7565,1176
4433,1176
1176,4873
8493,8315
9092,4494
4636,8242
7213,8242
8238,4368
8238,316
8238,7944
9092,2704
1184,312
1188,9239
1184,1187
8238,1190
1184,1186
4171,5470
1184,1181
7578,1181
314,1181
1184,7561
8238,9134
8238,4874
8238,8420
1188,3546
1188,1191
8238,4870
1188,7545
8238,4878
8238,4878
1184,5975
3388,1182
314,314
8238,314
8238,1189
8238,1192
47,873
8238,5467
8238,47
8238,1185
5973,2827
4636,2827
5973,2827
4636,2827
7213,2827
7213,315
9092,8352
8238,1180
8238,3270
8238,4876
8238,4550
8238,3414
9255,2767
1093,2767
2767,3437
9563,3437
1093,3437
2767,870
1093,870
30,30
2767,30
1093,30
297,297
9255,297
297,297
1093,297
2767,1092
9593,1092
1093,1092
1092,1092
1092,1092
22,22
22,22
22,22
2767,22
9593,22
1093,22
1095,1095
1095,1095
1095,1095
2767,1095
9593,1095
1093,1095
1090,1090
2767,1090
1093,1090
2767,7432
1093,7432
7432,7432
2767,872
9593,872
1093,872
1,1
1,1
1,1
1,1
4276,1
1088,1
297,1
1091,1091
2767,1091
1093,1091
3832,3832
2767,3832
1093,3832
1098,1098
2767,1098
1093,1098
2767,4644
1093,4644
2767,8326
1093,8326
1079,1079
1079,1079
2767,1079
1089,1079
4555,1079
1093,1079
7204,7204
2767,7204
1097,7204
1093,7204
2767,9521
1093,9521
2767,3401
1093,3401
2767,3401
8760,3401
1093,3401
2767,1094
1093,1094
2767,1096
1093,1096
2767,4641
9593,4641
9563,4641
1099,4641
1093,4641
9593,4641
2767,4641
1099,4641
1093,4641
4641,4641
4641,4641
2767,2807
1093,2807
2767,9563
1093,9563
1097,1089
1089,1089
1127,7568
7656,7568
1122,7568
1121,7568
5457,7568
301,7568
1127,7797
7656,7797
1122,7797
7797,7797
301,301
4249,4249
1122,1122
1122,1122
1122,1122
1122,1122
1122,8661
7479,8450
8450,8450
7904,5457
1129,5457
7904,5457
1129,5457
5959,8512
5959,4637
300,300
4643,4643
5959,31
31,31
5959,31
31,31
31,29
29,29
29,29
29,29
1108,1108
1108,1108
5959,1108
1108,1108
299,299
3201,3201
5959,3718
3718,3718
1107,1107
5959,8005
8005,8005
1111,1111
5959,1111
8057,1111
7140,1111
5959,1109
8057,1109
1109,1109
5959,1101
5959,1101
5959,1106
5959,1102
305,305
5959,305
305,305
5959,305
5959,869
4004,8057
5959,7443
32,32
32,32
298,298
4642,4642
1119,1115
8994,2878
7055,7456
5930,7456
281,7456
289,7055
289,281
8520,5923
8520,5921
8520,1022
9683,5810
4832,4832
2832,2832
5944,7050
4849,5946
5936,286
5939,286
5941,286
5944,8569
5932,8569
5938,8569
7050,4166
7050,8615
285,18
1030,18
3503,8100
8667,8100
9709,939
286,939
8569,939
939,7065
19,9299
19,9817
1031,1029
19,1029
19,19
3727,19
9687,4860
9687,5448
9687,1046
9687,5937
9687,9663
9687,1058
9687,4366
5451,1059
1061,1059
7514,1061
1047,1056
5451,1056
7514,2775
7514,1051
7514,5451
7203,5452
7514,7689
7514,7542
7514,8216
1054,1054
1054,1054
8417,8417
8821,4830
1056,4830
8216,4830
1067,1067
3734,3734
294,3734
3734,3734
3734,3734
294,294
294,294
294,294
294,294
294,1050
20,20
20,20
848,848
7514,1052
284,3223
284,5945
5933,2841
8480,2841
2841,2841
1038,5933
