,completename,nodeId,label,CC,PC,LOC,NCMIC,NCMEC,NECA,NAMFAEC,classID,NCM
0,org_apache_kafka_common_Cluster_Cluster,0,0,9,8,2,4,7,4,3,0,11
1,org_apache_kafka_clients_consumer_KafkaConsumer_KafkaConsumer,1,0,1,1,21,7,37,22,10,1,44
2,org_apache_kafka_clients_admin_RemoveMembersFromConsumerGroupResult_removeAll,2,0,1,0,3,0,0,0,0,2,0
3,org_apache_kafka_clients_admin_ConsumerGroupListing_ConsumerGroupListing,3,0,1,3,11,1,0,0,0,3,1
4,org_apache_kafka_clients_NodeApiVersions_create,4,0,5,1,10,3,0,0,0,4,3
5,org_apache_kafka_clients_ClientUtils_parseAndValidateAddresses,5,0,1,2,42,1,3,2,2,5,4
6,org_apache_kafka_clients_admin_Admin_listConsumerGroupOffsets,6,0,1,1,9,1,0,0,0,6,1
7,org_apache_kafka_clients_admin_ConfigEntry_ConfigEntry,7,0,1,8,20,1,0,0,0,7,1
8,org_apache_kafka_clients_admin_KafkaAdminClient_completeAllExceptionally,8,0,1,2,9,1,0,0,0,8,1
9,org_apache_kafka_clients_ClusterConnectionStates_currentAddress,9,0,2,0,8,1,0,0,0,9,1
10,org_apache_kafka_clients_ClusterConnectionStates_authenticationFailed,10,0,1,3,13,2,0,0,0,9,2
11,org_apache_kafka_clients_admin_ListOffsetsOptions_ListOffsetsOptions,11,0,1,1,3,1,0,0,0,10,1
12,org_apache_kafka_clients_admin_RecordsToDelete_beforeOffset,12,0,1,0,6,1,0,0,0,11,1
13,org_apache_kafka_clients_admin_MemberAssignment_MemberAssignment,13,0,1,1,7,0,0,0,0,12,0
14,org_apache_kafka_clients_admin_NewTopic_replicationFactor,14,0,1,0,6,0,0,0,0,13,0
15,org_apache_kafka_clients_admin_NewPartitionReassignment_NewPartitionReassignment,15,0,2,1,7,0,0,0,0,14,0
16,org_apache_kafka_clients_admin_ListConsumerGroupOffsetsOptions_topicPartitions,16,0,1,1,6,0,0,0,0,15,0
17,org_apache_kafka_clients_ClusterConnectionStates_isReady,17,0,1,2,3,1,0,0,0,9,1
18,org_apache_kafka_clients_Metadata_newMetadataRequestAndVersion,18,0,3,1,13,2,0,0,0,16,2
19,org_apache_kafka_clients_MetadataCache_MetadataCache,19,0,1,7,19,2,0,0,0,17,2
20,org_apache_kafka_clients_MockClient_respond,20,0,3,2,6,2,8,3,6,18,10
21,org_apache_kafka_clients_Metadata_requestUpdateForNewTopics,21,0,1,0,6,0,0,0,0,16,0
22,org_apache_kafka_clients_consumer_KafkaConsumer_commitSync,22,0,2,2,43,6,5,4,2,1,11
23,org_apache_kafka_clients_consumer_ConsumerRecords_records,23,0,2,1,11,0,1,1,1,19,1
24,org_apache_kafka_clients_consumer_ConsumerRebalanceListener_onPartitionsRevoked,24,0,1,1,22,0,0,0,0,20,0
25,org_apache_kafka_clients_NetworkClientTest_createExpectedApiVersionsResponse,25,0,3,2,10,0,1,1,1,21,1
26,org_apache_kafka_clients_consumer_Consumer_close,26,0,1,1,4,0,0,0,0,22,0
27,org_apache_kafka_clients_consumer_ConsumerRecord_ConsumerRecord,27,0,1,11,19,4,2,1,2,23,6
28,org_apache_kafka_clients_consumer_Consumer_committed,28,0,1,1,4,0,0,0,0,22,0
29,org_apache_kafka_clients_consumer_MockConsumer_commitSync,29,0,1,2,3,4,2,1,2,24,6
30,org_apache_kafka_clients_consumer_KafkaConsumer_beginningOffsets,30,0,1,2,22,3,2,2,1,1,5
31,org_apache_kafka_clients_consumer_MockConsumer_commitAsync,31,0,1,1,4,4,2,2,1,24,6
32,org_apache_kafka_clients_consumer_OffsetAndMetadata_OffsetAndMetadata,32,0,1,1,8,2,0,0,0,25,2
33,org_apache_kafka_clients_consumer_internals_AbstractStickyAssignor_reassignPartition,33,0,1,5,5,2,1,1,1,26,3
34,org_apache_kafka_clients_consumer_internals_AbstractCoordinator_setNewState,34,0,1,1,3,0,0,0,0,27,0
35,org_apache_kafka_clients_consumer_internals_AbstractCoordinator_ensureActiveGroup,35,0,2,0,13,4,1,1,1,27,5
36,org_apache_kafka_common_Cluster_partitionsForTopic,36,0,1,1,8,0,0,0,0,0,0
37,org_apache_kafka_clients_consumer_internals_AsyncClient_AsyncClient,37,0,1,2,4,0,1,1,1,28,1
38,org_apache_kafka_clients_consumer_internals_ConsumerCoordinator_sendOffsetFetchRequest,38,0,2,1,13,0,4,3,2,29,4
39,org_apache_kafka_clients_consumer_internals_Fetcher_hasAvailableFetches,39,0,1,0,6,0,0,0,0,30,0
40,org_apache_kafka_clients_consumer_internals_ConsumerProtocol_serializeAssignment,40,0,3,2,2,1,0,0,0,31,1
41,org_apache_kafka_clients_consumer_internals_ConsumerMetadata_addTransientTopics,41,0,2,1,4,0,3,2,2,32,3
42,org_apache_kafka_clients_consumer_internals_ConsumerInterceptors_close,42,0,2,0,13,0,1,1,1,33,1
43,org_apache_kafka_clients_consumer_internals_ConsumerNetworkClient_poll,43,0,1,1,36,11,10,5,4,34,21
44,org_apache_kafka_clients_consumer_internals_ConsumerCoordinator_ConsumerCoordinator,44,0,5,13,5,0,8,6,3,29,8
45,org_apache_kafka_clients_consumer_internals_ConsumerCoordinator_invokePartitionsRevoked,45,0,1,1,20,0,6,5,2,29,6
46,org_apache_kafka_clients_consumer_internals_RequestFuture_raise,46,0,1,1,7,2,0,0,0,35,2
47,org_apache_kafka_clients_consumer_internals_SubscriptionState_seekValidated,47,0,1,1,3,1,0,0,0,36,1
48,org_apache_kafka_clients_consumer_internals_AbstractCoordinatorTest_syncGroupResponse,48,0,1,1,3,1,1,1,1,37,2
49,org_apache_kafka_clients_producer_MockProducer_MockProducer,49,0,1,4,7,3,3,1,3,38,6
50,org_apache_kafka_clients_producer_KafkaProducer_KafkaProducer,50,0,1,3,72,10,36,19,11,39,46
51,org_apache_kafka_clients_producer_Producer_close,51,0,1,2,4,0,0,0,0,40,0
52,org_apache_kafka_clients_producer_Producer_sendOffsetsToTransaction,52,0,1,2,4,0,0,0,0,40,0
53,org_apache_kafka_clients_producer_internals_ProducerInterceptors_onSendError,53,0,4,3,25,0,5,4,2,41,5
54,org_apache_kafka_clients_producer_internals_ProducerBatch_producerEpoch,54,0,1,0,3,0,1,1,1,42,1
