caller_id,callee_id
1383,403
1381,1381
1849,1381
1383,1805
1383,605
266,261
264,261
266,265
264,265
1055,296
2426,998
1383,687
1383,714
1434,714
1434,1436
1434,1436
1434,1436
1383,1055
1383,245
261,245
1055,245
1068,1008
1068,1817
1383,1433
1383,2400
1383,1406
771,368
771,2422
2144,852
2144,852
523,523
523,523
523,523
1842,1319
499,2193
1668,2193
494,1145
494,1974
2432,1087
494,2332
494,1685
494,1755
1863,1322
494,393
2432,1365
494,1668
494,1668
494,2432
494,499
793,499
494,405
2432,1353
494,1945
2173,495
1758,495
1319,2381
1319,361
364,2325
1009,2325
1319,1641
1319,2173
1319,985
1319,1947
1285,1758
985,1758
361,1758
1641,1758
2381,1758
2429,1758
1098,1758
1947,1758
1464,1758
1071,1758
976,1758
2325,1758
1051,1758
2345,1758
1683,1009
1869,654
2362,1792
148,148
2437,722
2437,1484
2437,1899
417,416
2451,416
2047,416
616,1894
1894,1894
1486,1483
1195,1195
1674,1985
800,975
1438,2032
1713,1245
2234,1570
815,1570
1242,1570
1072,279
52,1836
52,40
2042,2042
159,159
159,159
1733,559
1781,779
328,779
1961,769
769,769
1961,326
326,326
704,1274
598,1274
1592,794
1275,794
1609,2037
190,2037
1992,600
1770,600
591,591
586,586
2056,2420
189,189
184,1269
1593,585
1262,1589
1587,1595
1644,681
1581,1264
699,1264
1581,2020
699,2020
1581,1968
699,1968
1248,1659
1581,662
699,662
1581,1586
699,1586
1581,1584
699,1584
1578,1708
1581,1065
699,1065
1581,2169
699,2169
1325,1325
2256,1325
568,569
2010,321
1271,1271
1936,316
1936,316
1936,316
1936,316
1936,316
1936,316
1936,316
1936,316
318,318
583,318
318,318
583,318
320,320
583,320
320,320
583,320
314,314
583,314
314,314
583,314
633,1326
633,2342
186,186
2263,186
1948,1917
2137,1917
1948,2180
1876,2180
2137,2180
1917,2180
1943,1585
566,832
2172,1258
582,1424
1901,770
581,322
1261,576
1583,1268
1273,1873
1267,1580
1964,783
2249,573
580,1653
187,1327
1818,572
1372,1639
1270,2163
1914,2232
1266,2052
573,579
575,575
578,1577
1633,1576
574,1591
324,1272
571,1845
1552,955
161,955
1552,15
161,15
1552,1023
161,1023
15,1152
1023,1152
955,1152
735,2289
963,1950
739,1725
29,1725
739,1816
2463,1816
1,919
2231,1605
2464,1348
1348,1348
2109,99
739,219
739,848
2307,848
1123,2043
165,1024
1128,46
921,46
921,46
1813,964
623,2084
1300,1749
2353,1697
304,1697
1117,867
2220,2040
2308,1168
25,887
7,43
2389,834
1828,834
2389,1132
1669,1132
625,965
1142,1012
0,935
2389,1165
2389,1131
2318,1131
1093,1151
2305,2183
1143,47
1116,2399
1679,163
2282,304
1640,1169
22,1382
2017,1346
2017,164
164,164
961,42
1115,1122
1069,2465
2168,2465
1069,1130
835,1130
2,2190
725,45
2185,1153
1069,918
1069,1696
670,1696
818,24
1011,2373
1143,1128
1908,126
1671,2409
32,127
1043,1850
33,1850
1738,1850
1192,1850
2005,26
1291,1987
1291,1987
1908,124
1857,1774
166,1918
1918,1918
1925,10
736,947
13,9
2223,954
958,2090
1194,968
78,78
952,78
1553,693
1138,693
1027,1967
1027,1626
1134,1763
77,2371
1304,1561
1241,1561
2343,1361
1241,1361
1141,1239
1241,1239
2116,2310
2115,1977
1280,930
1241,237
1745,1870
2134,1767
1241,1767
796,1767
2276,1767
1628,2352
909,754
169,626
1711,82
1729,2374
167,2276
1678,2276
796,1678
2352,1241
2352,1241
2118,81
168,168
2118,168
1090,1637
2125,534
693,532
693,1716
693,83
2328,1237
1140,1237
693,698
2328,2323
1312,2323
693,1162
1028,1278
693,84
1137,1025
693,755
80,2199
693,957
693,79
693,959
2328,781
781,875
906,875
2328,2217
1135,2217
693,2063
693,903
1095,1922
693,2385
1797,531
1241,1037
1241,1037
542,542
2038,1060
1991,1991
1991,1769
1694,688
757,551
2030,551
1625,250
1699,250
799,250
2269,248
541,2076
829,928
828,2290
170,2357
1798,2094
1621,1621
249,1621
2218,91
38,211
282,1783
39,1125
636,251
1764,1779
2000,93
533,1663
1119,1793
2161,86
1310,2142
2065,249
1663,249
2076,249
172,249
1897,249
249,249
172,249
1897,249
86,1126
846,1126
1427,1029
1715,1334
1897,2267
280,85
1881,94
283,94
276,2259
2086,276
